Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1674.1891,-17237.0248,-3284.2426,88.52487264,-18911.2139,-3195.71772736,-22106.93162736,24
1,-1671.4961,-17166.4981,-3261.027,87.6814992,-18837.9942,-3173.3455008,-22011.339700800003,24
2,-1644.4694,-17273.787,-3204.4656,88.65334656,-18918.2564,-3115.81225344,-22034.068653439997,24
3,-1653.1054,-17150.9895,-3259.6235,88.60605263999999,-18804.0949,-3171.01744736,-21975.112347360002,24
4,-1696.8918,-17208.2505,-3207.7546,86.02755911999999,-18905.1423,-3121.72704088,-22026.86934088,24
5,-1688.9287,-17196.359,-3223.4011,85.18413456,-18885.2877,-3138.21696544,-22023.50466544,24
6,-1676.693,-17223.7461,-3221.6796,86.0720544,-18900.4391,-3135.6075456,-22036.0466456,24
7,-1652.4281,-17273.0905,-3208.1482,88.03634111999999,-18925.5186,-3120.11185888,-22045.630458879998,24
8,-1661.6163,-17159.6624,-3323.1188,87.58707336,-18821.278700000003,-3235.53172664,-22056.810426640004,24
9,-1680.5066,-17022.3914,-3354.9571,87.7626216,-18702.898,-3267.1944784,-21970.0924784,24
10,-1678.5028,-17116.6453,-3286.6164,87.11965224,-18795.1481,-3199.49674776,-21994.64484776,24
11,-1701.928,-17107.4584,-3205.2764,85.8402216,-18809.3864,-3119.4361784000002,-21928.8225784,24
12,-1692.5576,-17020.4318,-3404.3237,87.24492576,-18712.9894,-3317.07877424,-22030.06817424,24
13,-1701.6749,-17162.5428,-3189.8375,84.12616224,-18864.2177,-3105.71133776,-21969.92903776,24
14,-1648.2534,-17196.1225,-3290.019,87.01672679999999,-18844.375900000003,-3203.0022731999998,-22047.378173200002,24
15,-1647.0047,-17166.0593,-3293.5919,88.22715840000001,-18813.064000000002,-3205.3647416,-22018.4287416,24
16,-1672.579,-17160.7862,-3254.7654,86.56711776,-18833.3652,-3168.19828224,-22001.56348224,24
17,-1652.0469,-17105.1652,-3284.7731,85.98727872,-18757.2121,-3198.7858212799997,-21955.99792128,24
18,-1682.6803,-17060.9388,-3339.2863,88.03744343999999,-18743.6191,-3251.24885656,-21994.86795656,24
19,-1676.8336,-17045.1303,-3309.424,85.28860296,-18721.963900000002,-3224.13539704,-21946.09929704,24
