Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1660.9936,-17037.4141,-3446.0777,87.68589552,-18698.407700000003,-3358.39180448,-22056.799504480005,16
1,-1676.2686,-16966.3242,-3469.957,88.29624312,-18642.5928,-3381.66075688,-22024.253556879998,16
2,-1640.8386,-17108.2595,-3391.9361,86.83283519999999,-18749.0981,-3305.1032648,-22054.2013648,16
3,-1680.8871,-17110.3463,-3361.8714,86.17576536,-18791.2334,-3275.69563464,-22066.92903464,16
4,-1672.4667,-17118.6887,-3388.4964,86.08113648,-18791.1554,-3302.41526352,-22093.57066352,16
5,-1727.9538,-16992.4726,-3436.8321,85.88129184,-18720.4264,-3350.95080816,-22071.37720816,16
6,-1696.6055,-17159.6098,-3311.8447,86.95625904,-18856.2153,-3224.88844096,-22081.103740960003,16
7,-1659.9251,-17249.1002,-3284.423,86.54365007999999,-18909.0253,-3197.8793499199996,-22106.90464992,16
8,-1641.4315,-17209.736,-3368.0611,88.83771696,-18851.1675,-3279.22338304,-22130.39088304,16
9,-1665.5053,-17167.177,-3319.2593,87.5053512,-18832.6823,-3231.7539488,-22064.4362488,16
10,-1649.9333,-17115.8814,-3375.5289,89.57498183999999,-18765.8147,-3285.95391816,-22051.76861816,16
11,-1674.8348,-17051.8601,-3422.4429,87.71044392,-18726.694900000002,-3334.73245608,-22061.427356080003,16
12,-1668.4802,-17138.0234,-3365.6981,86.99675975999999,-18806.503599999996,-3278.7013402400003,-22085.204940239997,16
13,-1672.914,-17284.6565,-3287.2564,85.19210352,-18957.5705,-3202.0642964800004,-22159.63479648,16
14,-1688.1729,-17102.998,-3402.7093,89.47186632,-18791.1709,-3313.23743368,-22104.40833368,16
15,-1688.3648,-17236.8239,-3293.8171,86.92621632,-18925.1887,-3206.89088368,-22132.07958368,16
16,-1689.325,-17201.4818,-3253.3616,84.697038,-18890.806800000002,-3168.6645620000004,-22059.471362000004,16
17,-1687.1862,-17147.4415,-3384.1507,87.31427904,-18834.6277,-3296.83642096,-22131.46412096,16
18,-1693.0393,-17171.5652,-3371.0508,85.7811708,-18864.6045,-3285.2696292,-22149.8741292,16
19,-1716.9057,-17173.9503,-3343.115,84.14606808,-18890.856,-3258.9689319199997,-22149.824931919997,16
