Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1927.5877,-18123.5781,-3036.4504,68.97708,-20051.1658,-2967.47332,-23018.63912,1
1,-1931.5438,-18219.456,-2946.3863,67.53522744,-20150.999799999998,-2878.85107256,-23029.850872559997,1
2,-1943.0285,-18171.5422,-3002.7023,66.53963519999999,-20114.5707,-2936.1626648,-23050.733364800002,1
3,-1900.3173,-18307.266,-2902.8752,67.27661135999999,-20207.5833,-2835.59858864,-23043.181888639996,1
4,-1906.7229,-18318.8136,-2899.2928,68.06462976,-20225.536500000002,-2831.22817024,-23056.76467024,1
5,-1889.8501,-18323.3795,-2898.9759,69.34456224,-20213.2296,-2829.63133776,-23042.86093776,1
6,-1902.1812,-18273.8877,-2922.432,66.51527688,-20176.0689,-2855.91672312,-23031.98562312,1
7,-1922.3331,-18242.635,-2896.4964,68.70011616000001,-20164.9681,-2827.79628384,-22992.76438384,1
8,-1897.7736,-18270.221,-2938.9054,67.46428943999999,-20167.9946,-2871.44111056,-23039.435710560003,1
9,-1891.9605,-18144.4641,-2990.4291,69.01070616,-20036.424600000002,-2921.4183938399997,-22957.842993840004,1
10,-1911.5247,-18125.7245,-3064.3805,68.25719376,-20037.2492,-2996.12330624,-23033.372506239997,1
11,-1909.9704,-18143.071,-3064.1653,69.52335696,-20053.0414,-2994.64194304,-23047.68334304,1
12,-1888.3037,-18108.047,-3037.2244,69.24927528,-19996.3507,-2967.97512472,-22964.32582472,1
13,-1890.7035,-18091.0687,-3082.2901,70.58961144,-19981.7722,-3011.70048856,-22993.47268856,1
14,-1907.0239,-18017.7439,-3136.3933,69.57782639999999,-19924.7678,-3066.8154736,-22991.5832736,1
15,-1873.4368,-18068.6584,-3165.3036,73.78599888,-19942.0952,-3091.51760112,-23033.612801119998,1
16,-1885.8247,-17987.2525,-3148.5766,71.87500656,-19873.0772,-3076.7015934399997,-22949.77879344,1
17,-1860.7587,-18052.6216,-3109.1797,73.68400439999999,-19913.380299999997,-3035.4956956,-22948.8759956,1
18,-1870.8603,-17843.5599,-3248.9932,73.38020399999999,-19714.4202,-3175.612996,-22890.033196,1
19,-1897.006,-17940.2206,-3153.4845,71.11608552,-19837.2266,-3082.36841448,-22919.59501448,1
0,-1881.8796,-17970.3648,-3163.248,71.80970832,-19852.2444,-3091.43829168,-22943.68269168,2
1,-1875.8392,-18166.6753,-3040.4412,71.33628743999999,-20042.514499999997,-2969.1049125600002,-23011.619412559998,2
2,-1874.0676,-18011.0577,-3125.2935,71.94159576,-19885.1253,-3053.3519042400003,-22938.47720424,2
3,-1891.59,-18004.6245,-3138.8728,70.99925688,-19896.214500000002,-3067.8735431200002,-22964.088043120002,2
4,-1906.2754,-17971.355,-3181.2801,70.70297832,-19877.6304,-3110.57712168,-22988.207521679997,2
5,-1876.5843,-18061.2625,-3137.9797,72.26935992,-19937.8468,-3065.7103400799997,-23003.55714008,2
6,-1914.4379,-17960.3137,-3217.8872,71.54373096,-19874.7516,-3146.34346904,-23021.095069040002,2
7,-1910.3277,-18027.6735,-3164.5547,73.26146448,-19938.001200000002,-3091.29323552,-23029.29443552,2
8,-1854.6442,-18046.1427,-3085.9515,70.69784111999999,-19900.7869,-3015.2536588800003,-22916.04055888,2
9,-1904.1141,-18112.9343,-3071.6022,72.50899608,-20017.0484,-2999.0932039199997,-23016.14160392,2
10,-1880.017,-18078.1411,-3110.0269,73.05901344,-19958.1581,-3036.96788656,-22995.12598656,2
11,-1899.7782,-18110.6566,-3063.0348,71.81239464,-20010.4348,-2991.22240536,-23001.65720536,2
12,-1848.0263,-18207.984,-2969.6168,72.99593567999999,-20056.0103,-2896.62086432,-22952.631164320002,2
13,-1881.9247,-18268.3678,-2984.3674,70.94367504,-20150.2925,-2913.42372496,-23063.71622496,2
14,-1850.0818,-18234.6831,-2914.0731,71.68909464,-20084.7649,-2842.38400536,-22927.148905359998,2
15,-1861.0059,-18137.4319,-2993.2383,72.39265055999999,-19998.4378,-2920.8456494399998,-22919.28344944,2
16,-1860.1653,-18220.3862,-2954.5315,74.23343064000001,-20080.5515,-2880.29806936,-22960.84956936,2
17,-1881.7746,-18189.8847,-3023.5822,71.56238616,-20071.6593,-2952.0198138399996,-23023.67911384,2
18,-1854.8908,-18273.7326,-2896.8094,73.42144272,-20128.6234,-2823.38795728,-22952.011357280004,2
19,-1853.869,-18132.7361,-3063.2458,74.77494408,-19986.605099999997,-2988.4708559200003,-22975.075955919998,2
0,-1903.527,-18194.5195,-3010.2221,74.62629576,-20098.046499999997,-2935.59580424,-23033.642304239995,3
1,-1878.5104,-18160.8463,-3014.2029,74.85453432,-20039.3567,-2939.3483656800004,-22978.705065680002,3
2,-1878.9128,-18185.2835,-3028.1969,73.58149512,-20064.196300000003,-2954.61540488,-23018.81170488,3
3,-1881.7272,-18139.0594,-3083.5866,72.84614256,-20020.7866,-3010.7404574400002,-23031.52705744,3
4,-1848.3816,-18169.9417,-3049.8654,73.41947784,-20018.3233,-2976.44592216,-22994.769222159997,3
5,-1832.8154,-18189.6441,-3019.9951,73.44642096,-20022.4595,-2946.54867904,-22969.00817904,3
6,-1851.7505,-18307.5698,-2932.4107,75.42463391999999,-20159.3203,-2856.98606608,-23016.30636608,3
7,-1913.8998,-18157.6905,-2982.8173,70.39069776,-20071.5903,-2912.42660224,-22984.016902239997,3
8,-1878.3535,-18234.3345,-2984.1271,74.55257568,-20112.688000000002,-2909.5745243200004,-23022.262524320002,3
9,-1847.6845,-18114.4343,-3040.548,74.60520552,-19962.1188,-2965.94279448,-22928.061594479997,3
10,-1860.5483,-18081.5195,-3131.9348,75.40584335999999,-19942.067799999997,-3056.52895664,-22998.596756639996,3
