Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1708.4435,-17170.1895,-3295.4808,82.446696,-18878.633,-3213.034104,-22091.667104000004,5
1,-1712.7542,-17217.6405,-3216.3497,80.75383199999999,-18930.3947,-3135.5958680000003,-22065.990568,5
2,-1698.6995,-17318.4339,-3158.1984,79.71409584,-19017.1334,-3078.48430416,-22095.61770416,5
3,-1737.0687,-17224.0116,-3267.6548,81.37764072,-18961.0803,-3186.27715928,-22147.357459280003,5
4,-1711.4839,-17095.7358,-3299.7727,82.44313488,-18807.219699999998,-3217.32956512,-22024.54926512,5
5,-1710.3998,-17073.224,-3363.0313,82.14139584,-18783.623799999998,-3280.8899041600002,-22064.513704159996,5
6,-1711.8277,-17233.4682,-3254.2606,80.62657704,-18945.2959,-3173.63402296,-22118.929922960004,5
7,-1738.1408,-17172.7711,-3278.7722,81.16308936,-18910.911900000003,-3197.60911064,-22108.52101064,5
8,-1713.2632,-17150.3351,-3276.3887,80.90514864,-18863.5983,-3195.48355136,-22059.081851360002,5
9,-1691.9643,-17157.2205,-3281.5651,81.10345751999999,-18849.1848,-3200.4616424799997,-22049.64644248,5
10,-1728.9447,-17097.547,-3356.7933,80.79900336,-18826.4917,-3275.99429664,-22102.48599664,5
11,-1710.8787,-17267.5912,-3217.6911,82.68529032000001,-18978.4699,-3135.00580968,-22113.47570968,5
12,-1701.9961,-17294.1312,-3229.3758,81.42117264,-18996.1273,-3147.95462736,-22144.081927360003,5
13,-1704.4512,-17278.2381,-3263.1435,82.66927679999999,-18982.6893,-3180.4742232000003,-22163.163523199997,5
14,-1695.6352,-17148.5772,-3311.5447,83.4353172,-18844.2124,-3228.1093828,-22072.321782799998,5
15,-1708.2497,-17076.8931,-3428.6386,81.94135896,-18785.1428,-3346.6972410400003,-22131.84004104,5
16,-1718.3432,-17085.0681,-3422.0765,82.34745480000001,-18803.4113,-3339.7290452,-22143.140345199998,5
17,-1720.8337,-17162.3647,-3296.8273,80.41893551999999,-18883.198399999997,-3216.40836448,-22099.60676448,5
18,-1714.2044,-17154.5629,-3336.9188,81.26787816,-18868.7673,-3255.65092184,-22124.41822184,5
19,-1717.233,-17184.2791,-3296.9555,79.431426,-18901.5121,-3217.524074,-22119.036174,5
