GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1728.6441,-17715.6696,-3494.7962,92.52618048,-19444.313700000002,-3402.2700195200005,-22846.583719520004
1,-1706.4045,-17634.9527,-3573.0555,96.07970087999999,-19341.357200000002,-3476.97579912,-22818.33299912
2,-1743.5225,-17649.2024,-3577.8252,95.68449576,-19392.724899999997,-3482.14070424,-22874.865604239996
3,-1714.5776,-17682.4157,-3498.3372,96.18906672,-19396.993300000002,-3402.14813328,-22799.141433280005
4,-1722.2253,-17594.1478,-3547.7559,92.78824535999999,-19316.373099999997,-3454.96765464,-22771.340754639998
5,-1717.9772,-17773.5196,-3464.8846,94.30094879999999,-19491.4968,-3370.5836512,-22862.080451200003
6,-1709.463,-17734.4378,-3467.8981,95.82712127999999,-19443.9008,-3372.07097872,-22815.97177872
7,-1713.3714,-17678.3005,-3523.2804,94.78332071999999,-19391.6719,-3428.49707928,-22820.168979280003
8,-1701.9581,-17641.1922,-3582.0227,94.99519368,-19343.1503,-3487.02750632,-22830.177806320004
9,-1736.0441,-17706.1504,-3506.2432,95.77767816,-19442.194499999998,-3410.46552184,-22852.660021839998
10,-1724.8598,-17696.76,-3483.1162,95.04525888,-19421.619799999997,-3388.07094112,-22809.690741119997
11,-1701.4937,-17587.981,-3612.6259,97.94922263999999,-19289.4747,-3514.67667736,-22804.151377359998
12,-1699.0552,-17641.5468,-3556.5562,97.38907056,-19340.602,-3459.16712944,-22799.76912944
13,-1694.1029,-17723.4494,-3520.6741,95.4965736,-19417.552300000003,-3425.1775264000003,-22842.729826400002
14,-1706.5212,-17567.2339,-3610.9941,97.04660039999999,-19273.7551,-3513.9474996,-22787.702599599997
15,-1699.4911,-17530.4222,-3678.5547,98.10475344,-19229.9133,-3580.44994656,-22810.363246560002
16,-1744.8641,-17619.4131,-3605.1714,97.48556495999999,-19364.2772,-3507.6858350400003,-22871.96303504
17,-1738.4906,-17530.6706,-3686.6072,96.92485056,-19269.161200000002,-3589.68234944,-22858.84354944
18,-1722.8549,-17482.6698,-3664.9046,96.05976624,-19205.524699999998,-3568.84483376,-22774.369533759997
19,-1697.1129,-17623.4217,-3629.9427,98.3078748,-19320.5346,-3531.6348252000003,-22852.169425199998

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1680.7978,-17219.6694,-3259.8101,82.70390664,-18900.4672,-3177.1061933600004,-22077.57339336
1,-1666.7539,-17139.4389,-3337.2581,85.62794903999999,-18806.1928,-3251.63015096,-22057.82295096
2,-1703.4244,-17148.7016,-3340.2392,85.36715496000001,-18852.126,-3254.87204504,-22106.99804504
3,-1673.6168,-17179.6354,-3272.7299,86.26676976,-18853.2522,-3186.46313024,-22039.715330239997
4,-1685.8272,-17093.0407,-3320.6276,83.04012431999999,-18778.8679,-3237.58747568,-22016.45537568
5,-1669.3528,-17281.0044,-3237.7988,84.68205048,-18950.357200000002,-3153.11674952,-22103.47394952
6,-1671.3414,-17155.3824,-3310.5244,85.6131336,-18826.7238,-3224.9112664,-22051.6350664
7,-1676.8666,-17129.6043,-3342.0011,84.96336167999999,-18806.4709,-3257.03773832,-22063.508638320003
8,-1663.1404,-17132.9153,-3367.672,84.6148752,-18796.0557,-3283.0571248,-22079.1128248
9,-1697.401,-17188.7369,-3297.7744,85.67933832,-18886.1379,-3212.0950616799996,-22098.23296168
10,-1689.5763,-17176.0616,-3259.3487,84.6337032,-18865.6379,-3174.7149968,-22040.3528968
11,-1665.466,-17057.0325,-3395.8309,87.23901167999999,-18722.4985,-3308.5918883199997,-22031.09038832
12,-1660.4429,-17119.9586,-3341.9811,86.77666943999999,-18780.4015,-3255.2044305599998,-22035.60593056
13,-1652.0939,-17187.498,-3310.1648,84.96597384,-18839.5919,-3225.19882616,-22064.790726159998
14,-1668.462,-17052.747,-3384.945,86.46253128,-18721.209,-3298.4824687200003,-22019.691468719997
15,-1661.368,-17022.7807,-3452.4184,87.03171504,-18684.148699999998,-3365.38668496,-22049.535384959996
16,-1706.9296,-17113.3694,-3373.7851,86.87920104,-18820.299,-3286.90589896,-22107.20489896
17,-1704.5241,-16997.0924,-3474.1994,86.17027463999999,-18701.6165,-3388.02912536,-22089.64562536
18,-1683.7781,-16964.7192,-3439.6945,85.51452168,-18648.4973,-3354.17997832,-22002.67727832
19,-1658.3651,-17106.338,-3393.5266,87.53268816,-18764.7031,-3305.9939118400002,-22070.69701184

Ligand Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-39.4271,-451.252,-284.1218,10.92665232,-490.6791,-273.19514768,-763.8742476799999
1,-35.5998,-456.3381,-277.3692,11.08827432,-491.9379,-266.28092568,-758.21882568
2,-37.6819,-465.4438,-274.5301,10.759114799999999,-503.1257,-263.7709852,-766.8966852
3,-37.4672,-466.6598,-263.6982,10.44148248,-504.127,-253.25671752,-757.38371752
4,-34.4979,-461.4598,-270.1313,10.827372239999999,-495.9577,-259.30392776,-755.2616277599999
5,-44.0452,-446.5711,-275.6156,10.34453304,-490.6163,-265.27106696,-755.88736696
6,-34.6538,-530.2222,-208.3244,10.73789352,-564.8760000000001,-197.58650648,-762.46250648
7,-32.499,-496.4331,-236.2326,10.482027839999999,-528.9321,-225.75057216,-754.68267216
8,-36.4261,-460.7197,-263.2507,10.73244024,-497.1458,-252.51825976,-749.6640597600001
9,-37.2858,-474.5277,-252.4239,10.37496888,-511.8135,-242.04893112,-753.86243112
10,-34.8217,-486.9668,-257.8768,10.411555680000001,-521.7885,-247.46524432,-769.25374432
11,-35.7187,-492.5238,-255.4668,10.710210239999999,-528.2425,-244.75658976,-772.99908976
12,-38.0913,-476.3437,-260.1716,10.61240112,-514.4350000000001,-249.55919888000003,-763.9941988800001
13,-41.744,-486.8771,-259.7786,10.53059976,-528.6211,-249.24800023999998,-777.86910024
14,-37.4111,-469.1354,-271.8896,10.60382952,-506.5465,-261.28577048,-767.8322704799999
15,-37.6445,-462.1131,-272.0475,11.0730384,-499.75759999999997,-260.97446160000004,-760.7320616000001
16,-35.9831,-464.8888,-273.9394,10.84595328,-500.8719,-263.09344672,-763.96534672
17,-32.2503,-484.9448,-262.4988,11.2010076,-517.1951,-251.29779240000002,-768.4928924
