GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1836.0147,-18113.9271,-3167.1898,73.269684,-19949.9418,-3093.9201160000002,-23043.861916
1,-1861.2134,-18110.5934,-3076.6144,74.52572255999999,-19971.806800000002,-3002.08867744,-22973.89547744
2,-1865.4521,-18041.1334,-3172.8048,74.92215888,-19906.585499999997,-3097.88264112,-23004.46814112
3,-1859.0132,-18088.6113,-3150.4273,75.4515684,-19947.6245,-3074.9757316,-23022.6002316
4,-1843.6003,-18004.6899,-3168.7266,75.74772311999999,-19848.290200000003,-3092.97887688,-22941.269076880006
5,-1822.2198,-17980.9514,-3212.9903,77.69261159999999,-19803.1712,-3135.2976884,-22938.468888400002
6,-1839.8381,-18077.8612,-3091.1407,73.78024896,-19917.6993,-3017.36045104,-22935.05975104
7,-1857.7534,-18069.0709,-3148.5799,75.0004812,-19926.8243,-3073.5794188,-23000.4037188
8,-1850.9954,-18051.8024,-3145.8413,77.06624903999999,-19902.7978,-3068.77505096,-22971.57285096
9,-1848.5228,-18061.1036,-3164.0073,76.00273488,-19909.626399999997,-3088.0045651200003,-22997.63096512
10,-1824.3547,-17942.3009,-3239.8994,77.82173424,-19766.6556,-3162.07766576,-22928.733265759998
11,-1814.5966,-17945.1546,-3253.6699,76.88663351999999,-19759.751200000002,-3176.78326648,-22936.534466480003
12,-1849.9854,-17932.6792,-3232.1915,77.46855336,-19782.6646,-3154.72294664,-22937.387546640002
13,-1826.1949,-18017.2923,-3162.887,76.40315712,-19843.4872,-3086.4838428800003,-22929.97104288
14,-1865.8926,-17969.7564,-3208.1767,77.66591256,-19835.648999999998,-3130.51078744,-22966.159787439996
15,-1852.3888,-17870.293,-3223.2064,75.00688488,-19722.681800000002,-3148.19951512,-22870.88131512
16,-1851.2023,-17885.9762,-3222.0434,77.2189272,-19737.1785,-3144.8244728,-22882.0029728
17,-1866.4251,-17953.9274,-3180.7288,74.09112768,-19820.3525,-3106.63767232,-22926.990172320002
18,-1869.5221,-18015.2966,-3137.3695,75.45833784,-19884.8187,-3061.91116216,-22946.729862160002
19,-1862.633,-17867.7786,-3225.0721,76.64156208,-19730.411600000003,-3148.43053792,-22878.842137920004

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1685.8847,-17402.7713,-3200.9009,79.28789184,-19088.656,-3121.61300816,-22210.26900816
1,-1702.2575,-17388.5485,-3130.8474,80.6473476,-19090.806,-3050.2000524,-22141.0060524
2,-1717.9657,-17308.1016,-3230.2005,81.18830376,-19026.067300000002,-3149.01219624,-22175.079496240003
3,-1712.4758,-17330.6932,-3223.9036,81.85694256,-19043.169,-3142.04665744,-22185.215657440003
4,-1687.078,-17295.9409,-3212.0917,82.22030063999999,-18983.018900000003,-3129.87139936,-22112.890299360002
5,-1675.0493,-17263.8935,-3258.1527,83.6169948,-18938.942799999997,-3174.5357052,-22113.478505199997
6,-1696.3075,-17372.5143,-3123.1455,79.17371424,-19068.821799999998,-3043.97178576,-22112.793585759995
7,-1711.8475,-17361.037,-3179.1771,80.65758816,-19072.8845,-3098.5195118399997,-22171.40401184
8,-1701.5305,-17314.8431,-3199.7798,81.9586116,-19016.3736,-3117.8211883999998,-22134.1947884
9,-1699.0453,-17319.4033,-3220.6717,81.85690296,-19018.448600000003,-3138.81479704,-22157.263397040002
10,-1673.6362,-17220.5268,-3284.4291,83.88778824,-18894.163,-3200.5413117599996,-22094.70431176
11,-1667.7487,-17234.562,-3289.432,82.57568832,-18902.3107,-3206.8563116799996,-22109.16701168
12,-1691.065,-17235.7729,-3258.8516,83.36406024,-18926.8379,-3175.48753976,-22102.32543976
13,-1667.9234,-17338.2718,-3181.8919,81.9321804,-19006.1952,-3099.9597196,-22106.154919599998
14,-1706.847,-17281.0292,-3246.6209,82.93415976,-18987.876200000002,-3163.68674024,-22151.56294024
15,-1705.0896,-17164.2498,-3272.044,80.40760415999999,-18869.3394,-3191.6363958399998,-22060.97579584
16,-1706.5571,-17174.8043,-3269.3653,82.44021384,-18881.3614,-3186.92508616,-22068.286486160003
17,-1710.331,-17228.3794,-3248.4258,80.89605431999999,-18938.7104,-3167.52974568,-22106.24014568
