Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1697.9047,-17602.2715,-3429.2829,2013.4053,-1347.2444,-19300.176199999998,-2763.1220000000003,-22063.2982,35
1,-1707.8381,-17686.1639,-3369.6487,2010.7405,-1334.7964,-19394.002,-2693.7046,-22087.7066,35
2,-1707.448,-17678.4797,-3392.6789,2015.4891,-1342.2903,-19385.9277,-2719.4800999999998,-22105.4078,35
3,-1734.2104,-17700.781,-3365.9548,2008.7796,-1340.3097,-19434.9914,-2697.4849,-22132.4763,35
4,-1701.5833,-17660.9881,-3405.1796,2006.8471,-1346.8387,-19362.571399999997,-2745.1711999999998,-22107.742599999998,35
5,-1714.9516,-17574.728,-3451.166,2015.1725,-1343.6061,-19289.6796,-2779.5996000000005,-22069.2792,35
6,-1705.4619,-17672.0526,-3356.9596,2003.5632,-1342.4188,-19377.514499999997,-2695.8152,-22073.3297,35
7,-1721.8024,-17559.469,-3464.7192,2011.7091,-1340.6933,-19281.2714,-2793.7034,-22074.9748,35
8,-1713.8932,-17613.3028,-3438.0858,2006.8093,-1339.385,-19327.196,-2770.6615,-22097.8575,35
9,-1722.6485,-17701.6501,-3344.6831,1999.8871,-1327.2831,-19424.2986,-2672.0791000000004,-22096.377699999997,35
10,-1694.7192,-17752.3195,-3281.1833,2010.7357,-1349.4457,-19447.0387,-2619.8933,-22066.932,35
11,-1730.4234,-17784.7676,-3264.4926,2003.5112,-1332.1958,-19515.191,-2593.1772,-22108.3682,35
12,-1719.2305,-17746.4688,-3312.2897,1994.1841,-1329.7955,-19465.6993,-2647.9011,-22113.600400000003,35
13,-1702.0105,-17742.9563,-3285.6105,1999.9391,-1330.7931,-19444.966800000002,-2616.4645,-22061.4313,35
14,-1745.7475,-17689.3341,-3293.1727,1991.5995,-1323.0717,-19435.0816,-2624.6449000000002,-22059.7265,35
15,-1725.3057,-17710.9143,-3306.0142,1995.37,-1329.443,-19436.22,-2640.0872,-22076.307200000003,35
16,-1708.5231,-17721.2012,-3338.7224,1997.2411,-1331.1585,-19429.724299999998,-2672.6398,-22102.3641,35
17,-1687.7379,-17783.0279,-3282.002,2005.7367,-1342.4665,-19470.7658,-2618.7318,-22089.4976,35
18,-1741.914,-17759.1037,-3333.3648,1993.9572,-1324.2762,-19501.0177,-2663.6838,-22164.7015,35
19,-1699.3395,-17767.1516,-3333.827,2002.7647,-1339.615,-19466.4911,-2670.6773000000003,-22137.168400000002,35
