Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
16,-41.3841,-439.5836,-259.0803,131.4426,-127.3328,-480.9677,-254.97050000000002,-735.9382,37
17,-41.0274,-420.7073,-270.8129,133.8618,-129.72,-461.7347,-266.6711,-728.4058,37
18,-32.3494,-455.2127,-261.331,135.9597,-132.9118,-487.5621,-258.2831,-745.8452,37
19,-36.7448,-439.7589,-259.4472,135.9738,-132.8504,-476.5037,-256.3238,-732.8275000000001,37
0,-36.5621,-450.0495,-254.7992,136.5976,-130.4294,-486.6116,-248.631,-735.2426,38
1,-38.1009,-479.2426,-224.8158,133.3515,-130.8602,-517.3435,-222.3245,-739.6679999999999,38
2,-34.5678,-502.6693,-216.5603,134.4335,-129.5049,-537.2371,-211.6317,-748.8688000000001,38
3,-31.4898,-477.4166,-232.6791,136.659,-134.3676,-508.9064,-230.38770000000002,-739.2941000000001,38
4,-39.4744,-498.7232,-219.5429,130.7386,-125.6509,-538.1976,-214.4552,-752.6528,38
5,-48.4295,-454.1193,-253.8925,130.7291,-124.142,-502.5488,-247.30540000000002,-749.8542,38
6,-38.944,-480.8717,-239.6681,132.3592,-126.5065,-519.8157,-233.8154,-753.6311,38
7,-45.156,-468.9903,-238.9202,132.4254,-126.8361,-514.1463,-233.33089999999999,-747.4772,38
8,-39.3838,-467.3066,-241.9154,135.0052,-131.8966,-506.6904,-238.8068,-745.4972,38
9,-36.9519,-548.642,-191.3213,133.8382,-130.148,-585.5939000000001,-187.6311,-773.2250000000001,38
10,-39.478,-489.9567,-229.1734,133.3468,-130.057,-529.4347,-225.88359999999997,-755.3183,38
11,-37.0149,-498.772,-233.7977,131.5843,-126.6302,-535.7869,-228.84359999999998,-764.6305,38
12,-35.6273,-478.1289,-260.6427,135.421,-130.9184,-513.7562,-256.14009999999996,-769.8963000000001,38
13,-37.411,-466.4146,-263.3644,133.6775,-131.2829,-503.8256,-260.96979999999996,-764.7954000000001,38
14,-43.2808,-459.2391,-264.1889,129.8786,-127.4818,-502.5199,-261.7921,-764.312,38
15,-35.4963,-447.3304,-266.5656,135.8888,-130.5447,-482.8267,-261.2215,-744.0482000000001,38
16,-38.1388,-450.3006,-262.8406,132.2222,-127.0461,-488.4394,-257.6645,-746.1039000000001,38
17,-40.4354,-457.0648,-254.9169,130.7149,-124.3001,-497.5002,-248.50209999999998,-746.0023,38
18,-41.6116,-457.5834,-257.6174,129.3305,-124.3785,-499.195,-252.66539999999998,-751.8604,38
19,-37.2988,-457.2406,-271.2588,135.473,-132.5115,-494.5394,-268.2973,-762.8367000000001,38
0,-38.2463,-473.8405,-248.1783,135.5959,-131.5293,-512.0868,-244.1117,-756.1985000000001,39
1,-37.891,-458.4879,-260.9437,134.5753,-128.5205,-496.37890000000004,-254.88889999999998,-751.2678,39
2,-39.8095,-444.8345,-278.3576,134.1216,-130.5363,-484.644,-274.7723,-759.4163000000001,39
3,-41.9929,-468.9898,-258.5674,133.1341,-129.5511,-510.9827,-254.98440000000002,-765.9671000000001,39
4,-41.1158,-453.1323,-264.6624,132.8742,-127.658,-494.24809999999997,-259.4462,-753.6943,39
5,-45.9226,-457.7836,-267.5924,132.5766,-125.7508,-503.70619999999997,-260.7666,-764.4728,39
6,-40.9568,-464.0464,-268.1394,128.8296,-124.5059,-505.0032,-263.8157,-768.8189,39
7,-40.3547,-450.9071,-272.6759,136.1487,-130.6872,-491.2618,-267.2144,-758.4762,39
8,-41.0788,-436.0091,-272.8948,132.2553,-127.1357,-477.0879,-267.7752,-744.8631,39
9,-43.7996,-442.2378,-271.7357,133.257,-126.1933,-486.0374,-264.672,-750.7094000000001,39
10,-41.2357,-443.8574,-265.0732,130.8094,-123.9897,-485.0931,-258.2535,-743.3466,39
11,-41.768,-444.8411,-271.7419,130.0393,-124.2675,-486.6091,-265.9701,-752.5792,39
12,-36.6112,-459.3017,-257.8088,131.8584,-127.8991,-495.9129,-253.84950000000003,-749.7624000000001,39
13,-35.0587,-456.1162,-277.5164,134.6461,-130.1538,-491.1749,-273.0241,-764.1990000000001,39
14,-35.4626,-435.0297,-277.1057,135.9644,-131.2471,-470.4923,-272.3884,-742.8806999999999,39
15,-40.0177,-447.1376,-283.936,134.4808,-130.2213,-487.1553,-279.67650000000003,-766.8318,39
16,-42.0015,-447.8206,-271.0365,133.3184,-128.787,-489.82210000000003,-266.50509999999997,-756.3272000000001,39
17,-41.1311,-443.0313,-269.5384,130.8614,-127.0366,-484.1624,-265.71360000000004,-749.8760000000001,39
18,-39.038,-450.0373,-267.2002,132.4395,-129.3128,-489.0753,-264.07349999999997,-753.1488,39
19,-39.5284,-451.9073,-266.369,131.3528,-128.0319,-491.4357,-263.04810000000003,-754.4838,39
0,-37.643,-457.8699,-267.1754,132.1371,-129.8996,-495.51289999999995,-264.9379,-760.4508,40
1,-37.7932,-484.0883,-249.011,136.933,-133.2622,-521.8815,-245.3402,-767.2216999999999,40
2,-34.4772,-457.5747,-273.535,138.5679,-133.7954,-492.0519,-268.76250000000005,-760.8144,40
3,-32.8584,-458.8703,-257.7144,136.3613,-132.4609,-491.7287,-253.81400000000002,-745.5427,40
4,-33.9249,-455.7415,-259.2795,138.7049,-136.3223,-489.66639999999995,-256.89689999999996,-746.5633,40
5,-30.0883,-477.647,-239.3597,137.8402,-135.5464,-507.7353,-237.0659,-744.8012000000001,40
6,-32.281,-461.3996,-251.6607,138.5301,-136.4414,-493.6806,-249.57199999999997,-743.2526,40
7,-31.311,-466.0027,-247.2768,137.6276,-135.4569,-497.3137,-245.1061,-742.4198,40
8,-41.4346,-465.8669,-252.3553,134.613,-129.6364,-507.3015,-247.3787,-754.6801999999999,40
9,-41.9605,-468.858,-228.8351,132.6002,-127.8825,-510.81850000000003,-224.1174,-734.9359000000002,40
10,-42.3333,-446.9333,-261.2488,133.5121,-128.4683,-489.2666,-256.20500000000004,-745.4716,40
11,-39.0139,-441.3807,-271.0803,135.9833,-131.5881,-480.39459999999997,-266.68510000000003,-747.0797,40
12,-40.3639,-458.6782,-255.9091,133.6113,-130.6553,-499.0421,-252.9531,-751.9952,40
13,-39.0087,-471.7011,-250.518,134.717,-130.4484,-510.7098,-246.24939999999998,-756.9592,40
14,-39.2889,-450.9609,-254.9275,134.8588,-130.4421,-490.2498,-250.51080000000002,-740.7606000000001,40
15,-42.7877,-439.9039,-260.5207,131.5749,-128.0843,-482.6916,-257.03009999999995,-739.7216999999998,40
16,-38.9781,-459.6434,-249.2426,134.1831,-127.1951,-498.62149999999997,-242.2546,-740.8761000000001,40
17,-40.9203,-466.7168,-249.3725,131.2063,-125.2853,-507.6371,-243.4515,-751.0886,40
18,-44.8753,-442.0789,-263.463,132.4774,-127.1385,-486.95419999999996,-258.1241,-745.0783,40
19,-42.612,-469.3046,-250.4733,133.5783,-128.4223,-511.9166,-245.3173,-757.2339,40
