Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1771.7811,-17878.1961,-3192.029,1925.2416,-1202.4094,-19649.9772,-2469.1967999999997,-22119.174,9
1,-1767.464,-17992.8453,-3136.2008,1921.0977,-1207.2659,-19760.3093,-2422.369,-22182.6783,9
2,-1794.8296,-17918.7976,-3119.0364,1929.7067,-1209.0714,-19713.627200000003,-2398.4011,-22112.028300000005,9
3,-1783.9709,-17795.9863,-3286.3709,1948.2523,-1222.6019,-19579.9572,-2560.7204999999994,-22140.6777,9
4,-1816.2606,-17940.2133,-3091.8534,1925.2416,-1187.0473,-19756.4739,-2353.6591,-22110.132999999998,9
5,-1785.7621,-18006.5626,-3087.8805,1923.5926,-1200.7101,-19792.3247,-2364.9980000000005,-22157.3227,9
6,-1819.5687,-17831.2041,-3261.8335,1930.2123,-1200.1459,-19650.7728,-2531.7671,-22182.5399,9
7,-1772.4597,-17980.0875,-3138.5562,1937.0777,-1207.6704,-19752.5472,-2409.1489,-22161.696099999997,9
8,-1810.2068,-17968.6516,-3158.5732,1935.9201,-1206.5541,-19778.8584,-2429.2072,-22208.0656,9
9,-1815.688,-18028.4698,-3062.5538,1921.3718,-1187.519,-19844.1578,-2328.701,-22172.8588,9
10,-1795.3837,-17923.3841,-3185.6946,1942.365,-1213.89,-19718.767799999998,-2457.2196,-22175.987399999995,9
11,-1802.206,-17827.439,-3211.4541,1934.3986,-1214.1155,-19629.644999999997,-2491.1710000000003,-22120.815999999995,9
12,-1797.9442,-17890.812,-3107.6134,1928.0671,-1205.0355,-19688.756200000003,-2384.5818,-22073.338000000003,9
13,-1812.6874,-17946.2895,-3150.7576,1937.3423,-1214.5478,-19758.976899999998,-2427.9631,-22186.94,9
14,-1784.4316,-17923.8122,-3152.223,1923.4319,-1207.5728,-19708.2438,-2436.3639,-22144.6077,9
15,-1808.657,-17826.63,-3183.4256,1931.3604,-1213.1483,-19635.287,-2465.2135,-22100.5005,9
16,-1800.1594,-17971.6978,-3107.7296,1929.6831,-1214.3423,-19771.857200000002,-2392.3888,-22164.246000000003,9
17,-1752.2289,-18007.204,-3105.1353,1932.5039,-1222.2333,-19759.4329,-2394.8647,-22154.2976,9
18,-1794.8429,-17945.1838,-3096.2127,1930.2926,-1205.3761,-19740.0267,-2371.2961999999998,-22111.3229,9
19,-1810.0041,-17864.6697,-3133.9908,1923.8855,-1206.2896,-19674.673799999997,-2416.3949000000002,-22091.068699999996,9
