Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
7,-1682.5503,-17138.9416,-3168.5286,1861.7281,-1182.1692,-18821.491899999997,-2488.9697,-21310.4616,28
8,-1722.2192,-17336.9598,-2956.1976,1840.872,-1162.543,-19059.179,-2277.8686,-21337.0476,28
9,-1687.8432,-17401.1875,-3012.4612,1843.4046,-1184.8987,-19089.0307,-2353.9553,-21442.986,28
10,-1699.2336,-17395.9503,-2985.7732,1835.5753,-1168.5633,-19095.1839,-2318.7612,-21413.9451,28
11,-1742.8284,-17330.7674,-2982.385,1834.9515,-1154.9401,-19073.5958,-2302.3736000000004,-21375.969399999998,28
12,-1728.8764,-17299.0011,-3013.7328,1845.5356,-1175.6134,-19027.877500000002,-2343.8106000000002,-21371.688100000003,28
13,-1727.1276,-17430.9013,-2953.8489,1834.0916,-1159.4031,-19158.0289,-2279.1603999999998,-21437.189300000002,28
14,-1688.9665,-17268.7684,-3071.19,1842.4407,-1170.9421,-18957.7349,-2399.6913999999997,-21357.4263,28
15,-1727.8516,-17298.4652,-3009.2855,1844.1464,-1173.1768,-19026.3168,-2338.3158999999996,-21364.6327,28
16,-1692.8068,-17342.8843,-3033.8139,1841.1271,-1169.5534,-19035.6911,-2362.2402,-21397.9313,28
17,-1707.7879,-17365.8625,-2998.6763,1851.9474,-1186.3179,-19073.6504,-2333.0468,-21406.697199999995,28
18,-1680.3493,-17365.7784,-2990.6413,1843.0171,-1178.5991,-19046.1277,-2326.2232999999997,-21372.351,28
19,-1715.2842,-17354.3915,-2965.7271,1852.8168,-1182.898,-19069.6757,-2295.8082999999997,-21365.484,28
0,-1696.2795,-17345.5876,-3010.9266,1846.1498,-1183.6976,-19041.8671,-2348.4744,-21390.3415,29
1,-1711.3771,-17462.7221,-2834.5776,1845.8427,-1180.8806,-19174.0992,-2169.6155,-21343.7147,29
2,-1662.2993,-17491.8632,-2827.0416,1844.3968,-1181.299,-19154.1625,-2163.9438,-21318.1063,29
3,-1698.407,-17456.968,-2875.5219,1843.4235,-1184.5739,-19155.375,-2216.6723,-21372.0473,29
4,-1701.149,-17254.8682,-3034.5587,1847.5862,-1183.4725,-18956.017200000002,-2370.445,-21326.4622,29
5,-1709.3032,-17260.6201,-3061.7323,1844.1417,-1174.4369,-18969.9233,-2392.0275,-21361.9508,29
6,-1721.1607,-17241.7143,-3074.9272,1832.0457,-1161.7302,-18962.875,-2404.6117000000004,-21367.4867,29
7,-1705.0148,-17201.6136,-3093.5179,1855.4959,-1185.4632,-18906.6284,-2423.4852,-21330.113599999997,29
8,-1739.5609,-17242.3694,-2992.061,1836.1611,-1168.5014,-18981.9303,-2324.4013000000004,-21306.3316,29
9,-1712.4761,-17262.9901,-3019.0346,1835.6225,-1175.2845,-18975.4662,-2358.6966,-21334.1628,29
10,-1742.1726,-17270.7241,-3015.693,1841.5098,-1171.1668,-19012.8967,-2345.3500000000004,-21358.2467,29
11,-1693.8927,-17354.8031,-2951.6248,1843.9385,-1181.6644,-19048.6958,-2289.3507,-21338.046500000004,29
12,-1706.6918,-17205.2792,-3070.8157,1847.109,-1177.0059,-18911.971,-2400.7126000000003,-21312.6836,29
13,-1691.4507,-17331.7296,-2970.8435,1845.4033,-1180.0016,-19023.1803,-2305.4418,-21328.622099999997,29
14,-1676.9103,-17305.7257,-3034.1321,1838.2591,-1170.7593,-18982.636,-2366.6322999999998,-21349.2683,29
15,-1731.7434,-17241.8855,-3049.7629,1838.2591,-1161.5138,-18973.6289,-2373.0176,-21346.646500000003,29
16,-1709.2291,-17286.2922,-2970.0061,1822.0665,-1147.7039,-18995.5213,-2295.6435,-21291.1648,29
17,-1719.208,-17337.6032,-2905.2852,1835.8068,-1150.1988,-19056.8112,-2219.6771999999996,-21276.4884,29
18,-1721.6893,-17173.1941,-3065.3959,1837.3849,-1161.2441,-18894.8834,-2389.2551,-21284.138499999997,29
19,-1696.5728,-17369.8892,-2959.0114,1843.2061,-1171.2404,-19066.462,-2287.0456999999997,-21353.5077,29
