Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1745.5366,-17636.5345,-3309.2588,1972.6144,-1281.5753,-19382.0711,-2618.2197,-22000.290800000002,13
1,-1747.5654,-17720.3368,-3269.4697,1969.7605,-1273.7273,-19467.9022,-2573.4365,-22041.3387,13
2,-1744.1918,-17840.2275,-3174.5667,1970.0299,-1283.2074,-19584.4193,-2487.7442,-22072.1635,13
3,-1756.2391,-17626.8465,-3307.1289,1982.0597,-1279.5949,-19383.0856,-2604.6641,-21987.749699999997,13
4,-1715.7471,-17617.8379,-3380.3954,1977.5473,-1286.7923,-19333.585,-2689.6404,-22023.225400000003,13
5,-1744.0812,-17610.4003,-3353.9522,1967.1003,-1278.2617,-19354.4815,-2665.1136,-22019.595100000002,13
6,-1775.1359,-17617.7525,-3383.1077,1967.6862,-1273.6866,-19392.8884,-2689.1081,-22081.9965,13
7,-1754.0972,-17782.1553,-3247.9033,1955.8785,-1264.2117,-19536.2525,-2556.2365,-22092.489,13
8,-1751.065,-17785.571,-3292.2641,1971.0504,-1269.6549,-19536.636,-2590.8686,-22127.5046,13
9,-1745.4195,-17746.3813,-3281.6994,1964.9883,-1280.8722,-19491.8008,-2597.5833000000002,-22089.384100000003,13
10,-1758.072,-17654.1965,-3360.8623,1959.9467,-1271.4682,-19412.2685,-2672.3837999999996,-22084.652299999998,13
11,-1787.6229,-17611.6278,-3314.073,1965.3143,-1274.8672,-19399.250699999997,-2623.6259,-22022.876599999996,13
12,-1777.4539,-17711.9061,-3286.2233,1981.6297,-1276.245,-19489.36,-2580.8386,-22070.1986,13
13,-1749.7593,-17686.7278,-3318.7743,1983.3071,-1288.3748,-19436.487100000002,-2623.842,-22060.329100000006,13
14,-1713.2388,-17746.4505,-3279.9739,1976.7346,-1284.3087,-19459.6893,-2587.548,-22047.2373,13
15,-1728.0176,-17725.8305,-3331.6901,1964.5772,-1275.2158,-19453.8481,-2642.3287,-22096.1768,13
16,-1766.0868,-17679.1105,-3362.789,1967.4027,-1266.8705,-19445.1973,-2662.2568,-22107.454100000003,13
17,-1749.3325,-17638.4809,-3373.2046,1959.9231,-1260.2726,-19387.8134,-2673.5541000000003,-22061.3675,13
18,-1766.867,-17657.4533,-3313.4174,1954.3098,-1252.0906,-19424.3203,-2611.1982,-22035.5185,13
19,-1744.2023,-17674.352,-3283.8049,1962.2194,-1257.8863,-19418.5543,-2579.4718000000003,-21998.026099999995,13
