Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1683.0972,-17120.3042,-3245.9286,1876.6922,-1214.6842,-18803.4014,-2583.9206000000004,-21387.321999999996,12
1,-1680.7661,-17135.7122,-3234.0893,1863.6323,-1198.6751,-18816.478300000002,-2569.1321,-21385.6104,12
2,-1681.1249,-17155.9881,-3229.9787,1861.9549,-1197.1306,-18837.112999999998,-2565.1544000000004,-21402.267399999997,12
3,-1708.3357,-17163.4363,-3156.1405,1863.7646,-1197.4094,-18871.772,-2489.7853,-21361.557300000004,12
4,-1683.9514,-17250.4001,-3128.0484,1860.8067,-1198.0021,-18934.351499999997,-2465.2438,-21399.595299999997,12
5,-1692.5718,-17178.8869,-3161.7806,1863.6748,-1197.1199,-18871.458700000003,-2495.2257,-21366.684400000002,12
6,-1676.2639,-17193.7958,-3188.7655,1872.3263,-1208.3872,-18870.059699999998,-2524.8264,-21394.8861,12
7,-1642.1504,-17186.2281,-3189.9579,1870.2993,-1216.9669,-18828.3785,-2536.6255,-21365.004,12
8,-1656.4769,-17179.3655,-3221.9568,1881.507,-1230.6978,-18835.8424,-2571.1476,-21406.989999999998,12
9,-1662.3494,-17104.3677,-3274.9197,1874.1265,-1225.8484,-18766.717099999998,-2626.6416,-21393.358699999997,12
10,-1660.5061,-17105.2637,-3283.5714,1890.82,-1238.9862,-18765.7698,-2631.7376,-21397.5074,12
11,-1674.814,-17002.4537,-3327.2027,1869.6047,-1220.1738,-18677.267699999997,-2677.7717999999995,-21355.0395,12
12,-1667.8463,-17081.9155,-3245.1259,1896.3718,-1246.9805,-18749.7618,-2595.7346,-21345.4964,12
13,-1693.8662,-17204.6206,-3101.6368,1877.5002,-1225.5615,-18898.4868,-2449.6981000000005,-21348.1849,12
14,-1651.4682,-17213.2078,-3106.8493,1876.3,-1228.1203,-18864.676,-2458.6696,-21323.3456,12
15,-1644.3403,-17102.7724,-3180.6609,1876.3851,-1223.8576,-18747.1127,-2528.1333999999997,-21275.2461,12
16,-1625.0621,-17183.0834,-3093.7569,1879.8863,-1219.1104,-18808.1455,-2432.9809999999998,-21241.126500000002,12
17,-1685.4133,-17140.8777,-3158.5846,1871.9625,-1204.5657,-18826.291,-2491.1878,-21317.478799999997,12
18,-1673.1463,-17245.0546,-3118.2146,1876.9143,-1215.3545,-18918.2009,-2456.6548,-21374.8557,12
19,-1682.8906,-17173.5732,-3133.1399,1863.9583,-1215.1867,-18856.463799999998,-2484.3683,-21340.8321,12
