Frame #,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
0,-0.06960000000002964,-21.324999999998283,21.448400000000163,-5.329070518200751e-15,-21.39459999999582,21.448400000000163,0.05380000000207019,36
1,-0.07209999999984262,-17.48280000000176,17.602199999999925,1.0658141036401503e-14,-17.55490000000185,17.60219999999987,0.04730000000256496,36
2,-0.09030000000021232,-19.53939999999841,19.711199999999963,7.105427357601002e-15,-19.629699999999502,19.711199999999906,0.08149999999898228,36
3,-0.08719999999993888,-28.160499999997512,28.28289999999987,-7.105427357601002e-15,-28.24769999999495,28.28289999999987,0.03520000000582968,36
4,-0.07920000000002858,-22.889600000001508,23.010800000000017,0.0,-22.968799999998794,23.010800000000245,0.04200000000150794,36
5,-0.051199999999987256,-20.026100000002145,20.080900000000156,-7.200000098350756e-07,-20.077300000001458,20.080899280000324,0.0035992800033000094,36
6,-0.04170000000009111,-14.911600000000192,14.951600000000042,-5.329070518200751e-15,-14.953299999998478,14.951599999999644,-0.0016999999979816494,36
7,-0.042899999999910676,-19.82390000000015,19.85709999999972,7.105427357601002e-15,-19.86679999999984,19.85709999999972,-0.009699999995973485,36
8,-0.04809999999997672,-23.562000000000182,23.601400000000126,-5.329070518200751e-15,-23.61009999999925,23.601400000000126,-0.00869999999963511,36
9,-0.08929999999986649,-27.34000000000242,27.448200000000156,3.552713678800501e-15,-27.42930000000183,27.44819999999976,0.018899999998780004,36
10,-0.1275000000001114,-31.259199999998714,31.400699999999972,-1.4210854715202004e-14,-31.386699999998825,31.400700000000086,0.013999999998532076,36
11,-0.11999999999995481,-33.554700000000025,33.6730000000004,-3.552713678800501e-15,-33.67470000000293,33.67300000000017,-0.0017000000027564965,36
12,-0.09610000000012775,-31.823200000000213,31.917499999999848,-7.105427357601002e-15,-31.919299999998998,31.917499999999677,-0.0018000000005713446,36
13,-0.11120000000003927,-32.96759999999989,33.051800000000014,5.329070518200751e-15,-33.07879999999875,33.051799999999986,-0.02699999999913416,36
14,-0.10299999999997311,-29.83389999999946,29.930100000000266,7.105427357601002e-15,-29.936900000002595,29.93010000000004,-0.00680000000443215,36
15,-0.2628000000000128,-35.16770000000099,35.41100000000017,3.552713678800501e-15,-35.430500000002155,35.411000000000286,-0.019500000003176865,36
16,-0.11089999999983746,-33.665000000001044,33.7659000000001,-1.0658141036401503e-14,-33.77590000000089,33.765900000000215,-0.010000000000218279,36
17,-0.08089999999990027,-21.516099999998005,21.632299999999816,-7.19999983189723e-07,-21.596999999997934,21.632299279999756,0.03529928000546079,36
18,-0.04959999999993414,-22.428799999999114,22.48019999999957,-7.199999991769346e-07,-22.4783999999986,22.48019927999991,0.0017992800021602307,36
19,-0.04560000000007136,-21.371599999998693,21.42140000000029,7.105427357601002e-15,-21.41719999999856,21.421400000000233,0.004200000004288995,36
