Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1696.2795,-17345.5876,-3122.549,80.42899608,-19041.8671,-3042.12000392,-22083.987103919997,29
1,-1711.3771,-17462.7221,-2963.4151,79.1365068,-19174.0992,-2884.2785932,-22058.3777932,29
2,-1662.2993,-17491.8632,-2940.5018,80.15211072,-19154.1625,-2860.34968928,-22014.512189279998,29
3,-1698.407,-17456.968,-2988.2266,79.18837992,-19155.375,-2909.03822008,-22064.41322008,29
4,-1701.149,-17254.8682,-3155.9195,80.4279672,-18956.017200000002,-3075.4915328,-22031.5087328,29
5,-1709.3032,-17260.6201,-3171.7756,79.61529456,-18969.9233,-3092.16030544,-22062.08360544,29
6,-1721.1607,-17241.7143,-3189.3874,77.75235936,-18962.875,-3111.63504064,-22074.510040639998,29
7,-1705.0148,-17201.6136,-3231.455,81.86673816,-18906.6284,-3149.58826184,-22056.216661840004,29
8,-1739.5609,-17242.3694,-3107.4822,78.78781007999999,-18981.9303,-3028.69438992,-22010.624689919998,29
9,-1712.4761,-17262.9901,-3127.0537,78.55377623999999,-18975.4662,-3048.49992376,-22023.966123759998,29
10,-1742.1726,-17270.7241,-3144.3923,79.15529088,-19012.8967,-3065.23700912,-22078.13370912,29
11,-1693.8927,-17354.8031,-3081.3825,79.6171248,-19048.6958,-3001.7653752,-22050.461175200002,29
12,-1706.6918,-17205.2792,-3194.4661,80.80106543999999,-18911.971,-3113.66503456,-22025.636034560004,29
13,-1691.4507,-17331.7296,-3088.4506,80.07007320000001,-19023.1803,-3008.3805268,-22031.5608268,29
14,-1676.9103,-17305.7257,-3155.9171,78.9227064,-18982.636,-3076.9943936,-22059.630393599997,29
15,-1731.7434,-17241.8855,-3163.5097,78.30452736,-18973.6289,-3085.20517264,-22058.83407264,29
16,-1709.2291,-17286.2922,-3072.2148,75.83725799999999,-18995.5213,-2996.377542,-21991.898842000002,29
17,-1719.208,-17337.6032,-3040.2081,77.32515528,-19056.8112,-2962.8829447199996,-22019.69414472,29
18,-1721.6893,-17173.1941,-3192.644,77.75931672,-18894.8834,-3114.88468328,-22009.76808328,29
19,-1696.5728,-17369.8892,-3055.1884,78.7900248,-19066.462,-2976.3983752,-22042.860375199998,29
