Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-42.6432,-456.8412,-273.6064,131.9765,-128.6502,-499.4844,-270.28010000000006,-769.7645,24
1,-40.4699,-444.2543,-279.0251,132.1702,-129.3467,-484.7242,-276.2016,-760.9258,24
2,-43.0245,-448.0298,-272.5625,132.397,-129.5662,-491.0543,-269.73170000000005,-760.7860000000001,24
3,-38.7412,-451.0486,-275.793,131.8584,-128.9538,-489.7898,-272.88840000000005,-762.6782000000001,24
4,-43.4478,-425.8971,-285.2433,133.5499,-130.1448,-469.34490000000005,-281.8382,-751.1831000000001,24
5,-40.0839,-465.9986,-266.7622,131.4662,-128.1742,-506.0825,-263.47020000000003,-769.5527000000001,24
6,-39.5412,-449.8753,-274.2977,131.7592,-128.5245,-489.4165,-271.063,-760.4795,24
7,-44.2077,-465.1629,-263.2132,130.9086,-127.6414,-509.37059999999997,-259.94599999999997,-769.3165999999999,24
8,-42.838,-448.6168,-265.6548,132.0049,-128.168,-491.45480000000003,-261.8179,-753.2727,24
9,-36.2429,-458.3497,-259.128,132.3403,-128.7031,-494.5926,-255.49079999999998,-750.0834,24
10,-43.8022,-464.2388,-258.6088,131.1732,-127.474,-508.04100000000005,-254.90959999999995,-762.9506,24
11,-39.9163,-478.89,-261.1029,131.6127,-127.1882,-518.8063,-256.6784,-775.4847,24
12,-40.2549,-486.395,-251.1515,128.7115,-126.396,-526.6499,-248.836,-775.4859,24
13,-40.1293,-469.3951,-251.506,130.9228,-126.877,-509.5244,-247.4602,-756.9846,24
14,-44.7276,-441.713,-272.3924,130.2424,-126.4547,-486.4406,-268.6047,-755.0453000000001,24
15,-40.2735,-465.6452,-252.4024,130.4314,-127.398,-505.9187,-249.369,-755.2877,24
16,-45.0617,-470.8708,-253.2753,129.288,-125.8889,-515.9325,-249.87619999999998,-765.8087,24
17,-37.488,-467.4799,-257.8745,130.1952,-127.3629,-504.9679,-255.0422,-760.0101,24
18,-39.4868,-491.3897,-240.287,129.8739,-126.9225,-530.8765,-237.3356,-768.2121000000001,24
19,-34.3288,-476.6603,-258.9981,130.3464,-126.8816,-510.9891,-255.53330000000005,-766.5224000000001,24
