GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1765.5766,-17901.5137,-3268.687,90.11716632,-19667.0903,-3178.56983368,-22845.66013368
1,-1750.4571,-17873.3627,-3286.5542,90.21582792,-19623.8198,-3196.33837208,-22820.15817208
2,-1762.9952,-17915.6877,-3193.1725,87.49818791999999,-19678.6829,-3105.67431208,-22784.35721208
3,-1712.4533,-17926.7157,-3284.7497,91.80517392,-19639.169,-3192.94452608,-22832.113526080004
4,-1769.7216,-17826.2461,-3344.9609,93.09155112,-19595.9677,-3251.86934888,-22847.83704888
5,-1761.3309,-17885.461,-3330.2209,89.44051824,-19646.7919,-3240.7803817599997,-22887.57228176
6,-1741.8961,-17831.9365,-3360.0183,90.9783396,-19573.8326,-3269.0399604000004,-22842.872560400003
7,-1794.8752,-17718.9725,-3384.6826,90.00083808000001,-19513.8477,-3294.68176192,-22808.52946192
8,-1702.2379,-17712.7377,-3404.7878,91.38139416,-19414.9756,-3313.40640584,-22728.382005840005
9,-1747.8862,-17803.5886,-3349.3995,90.53339111999999,-19551.4748,-3258.86610888,-22810.34090888
10,-1768.6559,-17850.2615,-3325.9608,88.9911036,-19618.917400000002,-3236.9696964,-22855.8870964
11,-1732.0295,-17975.6099,-3272.4388,90.56864879999999,-19707.6394,-3181.8701512,-22889.5095512
12,-1774.7122,-17959.3398,-3216.0205,88.81894728,-19734.052000000003,-3127.20155272,-22861.25355272
13,-1721.9507,-18026.4448,-3148.3557,89.95504104,-19748.395500000002,-3058.40065896,-22806.79615896
14,-1763.224,-17989.9484,-3149.8898,87.50713608,-19753.1724,-3062.38266392,-22815.55506392
15,-1732.3834,-17867.6737,-3262.1761,90.85521888,-19600.057099999998,-3171.32088112,-22771.37798112
16,-1733.9202,-17822.3545,-3375.8032,92.32964928,-19556.2747,-3283.47355072,-22839.74825072
17,-1746.3615,-17902.3727,-3253.9875,92.39890896,-19648.7342,-3161.58859104,-22810.32279104
18,-1773.3712,-17994.2639,-3178.6948,89.21741616,-19767.635100000003,-3089.47738384,-22857.112483840003
19,-1790.4655,-17991.4368,-3177.928,86.40715176,-19781.902299999998,-3091.52084824,-22873.42314824

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1692.39,-17319.1026,-3153.1517,84.38123448,-19011.492599999998,-3068.77046552,-22080.263065519997
1,-1673.7128,-17269.1581,-3189.6907,85.04497728,-18942.8709,-3104.6457227200003,-22047.516622720002
2,-1681.88,-17344.1022,-3076.8593,82.3420008,-19025.982200000002,-2994.5172992000003,-22020.499499200003
3,-1641.7981,-17308.456,-3183.9815,85.62218472,-18950.2541,-3098.35931528,-22048.61341528
4,-1690.4154,-17211.0388,-3247.2057,87.43458816,-18901.4542,-3159.77111184,-22061.22531184
5,-1684.2954,-17304.0937,-3211.5329,83.64500712,-18988.3891,-3127.88789288,-22116.276992879997
6,-1659.0764,-17221.2384,-3267.2413,85.79957759999999,-18880.3148,-3181.4417224000003,-22061.756522400003
7,-1724.1515,-17123.2782,-3276.9404,84.37579848,-18847.4297,-3192.56460152,-22039.99430152
8,-1637.0221,-17126.3721,-3278.4134,85.33677888,-18763.3942,-3193.07662112,-21956.47082112
9,-1680.0341,-17222.1504,-3220.9952,84.45906432,-18902.1845,-3136.53613568,-22038.72063568
10,-1700.1762,-17280.2848,-3194.8726,83.58332688,-18980.461000000003,-3111.28927312,-22091.75027312
11,-1658.2398,-17412.7102,-3128.0476,83.99901024,-19070.95,-3044.0485897599997,-22114.99858976
12,-1695.7036,-17382.6635,-3089.3816,83.29227983999999,-19078.3671,-3006.08932016,-22084.45642016
13,-1643.6695,-17441.1656,-3028.6329,84.86688167999999,-19084.8351,-2943.76601832,-22028.601118320003
14,-1686.0299,-17393.2748,-3050.1767,82.05413112,-19079.3047,-2968.12256888,-22047.42726888
15,-1666.7346,-17256.9841,-3160.5977,84.73177224,-18923.7187,-3075.86592776,-21999.58462776
16,-1663.6316,-17189.9347,-3300.3253,86.45013791999999,-18853.566300000002,-3213.87516208,-22067.44146208
17,-1674.3188,-17296.7701,-3139.4347,86.24598407999999,-18971.088900000002,-3053.1887159199996,-22024.27761592
18,-1706.9702,-17377.3986,-3088.9113,83.0042244,-19084.3688,-3005.9070756,-22090.2758756
