Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-40.1504,-430.0505,-298.4283,10.42775712,-470.2009,-288.00054287999995,-758.20144288,36
1,-42.9711,-447.5972,-278.5602,10.050941519999999,-490.56829999999997,-268.50925848,-759.07755848,36
2,-34.4795,-448.3348,-283.0145,10.9969812,-482.8143,-272.0175188,-754.8318188,36
3,-37.9538,-435.1112,-286.9727,10.249868159999998,-473.065,-276.72283183999997,-749.78783184,36
4,-42.5629,-443.9034,-278.0126,10.34885448,-486.4663,-267.66374552,-754.1300455200001,36
5,-40.4579,-437.3792,-293.4864,10.16789472,-477.8371,-283.31850528,-761.1556052799999,36
6,-39.1391,-457.8466,-279.5269,10.2828024,-496.9857,-269.24409760000003,-766.2297976,36
7,-47.2002,-448.8911,-273.7754,9.76234032,-496.0913,-264.01305967999997,-760.10435968,36
8,-41.3134,-450.4871,-287.3954,10.50371064,-491.8005,-276.89168936,-768.6921893599999,36
9,-35.7971,-448.7309,-287.8573,10.85559048,-484.528,-277.00170952,-761.52970952,36
10,-40.2534,-447.6363,-283.5916,10.44037152,-487.8897,-273.15122848000004,-761.04092848,36
11,-41.305,-444.4152,-281.9264,9.956500559999999,-485.72020000000003,-271.96989944,-757.69009944,36
12,-45.6371,-443.8136,-286.965,9.63517608,-489.4507,-277.32982391999997,-766.7805239200001,36
13,-39.7709,-475.4159,-264.9857,10.049122079999998,-515.1868000000001,-254.93657792000002,-770.1233779200002,36
14,-42.5357,-439.8421,-287.9484,10.59213888,-482.37780000000004,-277.35626112,-759.73406112,36
15,-40.5125,-440.7087,-289.803,10.50799752,-481.2212,-279.29500248,-760.5162024800001,36
16,-41.3508,-438.0419,-301.5381,10.72672056,-479.3927,-290.81137944,-770.20407944,36
17,-36.0454,-435.7671,-299.2176,10.6805592,-471.8125,-288.5370408,-760.3495408,36
18,-44.3139,-450.3185,-290.1742,9.67699584,-494.63239999999996,-280.49720415999997,-775.1296041599999,36
19,-40.3572,-427.8845,-293.6119,10.42973928,-468.2417,-283.18216072,-751.4238607199999,36
