Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
0,-56.87130000000002,-273.94140000000044,287.0278,-46.20360000000008,99.6594999999999,-330.81269999999773,340.48370000000006,9.671000000004597,11
1,-62.696700000000014,-252.74709999999948,284.5846000000003,-44.398699999999906,99.34199999999987,-315.44380000000086,339.5279000000005,24.084100000000944,11
2,-58.254400000000075,-250.76539999999915,266.5187,-48.06059999999988,101.02800000000016,-309.0198000000013,319.4861000000003,10.466300000000729,11
3,-57.192900000000016,-266.36069999999984,277.69920000000013,-44.38929999999999,94.24190000000004,-323.5536000000026,327.55179999999996,3.9981999999990876,11
4,-58.61859999999999,-258.29400000000146,280.06119999999953,-45.43810000000002,95.40089999999998,-316.91260000000216,330.0239999999995,13.11139999999375,11
5,-46.56780000000013,-226.25779999999793,237.53469999999965,-40.888000000000034,88.37349999999998,-272.8256000000001,285.0201999999996,12.194600000002765,11
6,-56.2701,-237.03739999999965,255.34459999999996,-44.98919999999998,96.1530000000001,-293.30750000000035,306.50840000000005,13.200900000001525,11
7,-49.937699999999964,-238.04019999999883,240.97249999999968,-40.96830000000014,87.23330000000001,-287.9778999999965,287.2374999999998,-0.740399999993997,11
8,-49.13390000000009,-230.05380000000025,236.36289999999963,-41.67700000000002,90.51810000000015,-279.18769999999967,285.20399999999927,6.016300000004094,11
9,-46.175299999999986,-233.11260000000067,240.91750000000008,-41.601399999999956,89.29070000000021,-279.2878999999984,288.60680000000036,9.31890000000385,11
10,-53.36599999999991,-261.45810000000085,277.0123999999999,-43.95919999999998,91.24099999999993,-314.82410000000056,324.2942000000003,9.470099999996137,11
11,-59.72929999999998,-246.57389999999788,264.6006000000002,-45.097900000000124,92.80240000000003,-306.3031999999974,312.3050999999999,6.001900000001683,11
12,-55.255799999999894,-253.11589999999995,263.33580000000023,-41.61080000000004,88.5430999999999,-308.37169999999986,310.26810000000035,1.8964000000004262,11
13,-47.960299999999954,-233.02719999999857,243.85889999999995,-37.57090000000002,86.25049999999999,-280.9874999999983,292.53849999999966,11.551000000004024,11
14,-59.28330000000003,-226.77249999999663,242.4737000000003,-43.37330000000014,89.38850000000008,-286.0557999999962,288.4889000000002,2.4331000000033782,11
15,-54.028399999999934,-235.0535999999983,251.46179999999993,-44.28530000000015,89.15299999999988,-289.081999999998,296.3294999999994,7.247499999997444,11
16,-53.35290000000003,-243.17539999999877,255.51270000000022,-42.702399999999926,86.89730000000006,-296.5283000000002,299.70760000000035,3.1793000000020584,11
17,-50.4905999999999,-261.73519999999775,274.9376,-41.9794,90.49460000000008,-312.22579999999834,323.4527999999998,11.227000000001112,11
18,-57.18599999999997,-228.94670000000048,244.56480000000022,-42.848899999999844,88.5078,-286.13269999999704,290.22370000000035,4.091000000006034,11
19,-48.304500000000075,-254.5147000000032,262.3108999999999,-42.47560000000007,86.1940000000001,-302.8192000000001,306.02930000000015,3.210100000000466,11
