Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
0,-12.385999999999953,-33.45690000000002,38.1539999999996,-9.306000000000154,18.93939999999995,-45.842900000000895,47.787399999999394,1.9444999999976744,28
1,-10.852199999999904,-34.01699999999994,38.54300000000018,-10.756700000000109,18.412900000000192,-44.86919999999918,46.199200000000246,1.3300000000059526,28
2,-12.701400000000085,-28.641199999998776,34.22720000000001,-9.405300000000011,19.391600000000068,-41.34259999999858,44.21349999999984,2.870900000002621,28
3,-10.342799999999897,-28.377300000002208,33.98719999999986,-7.954699999999946,14.90029999999986,-38.720100000000684,40.932799999999986,2.21269999999879,28
4,-8.95150000000001,-30.077199999999266,34.67430000000002,-8.157900000000097,13.978600000000057,-39.028700000000185,40.494999999999976,1.4663000000001603,28
5,-7.896699999999896,-28.953900000003102,30.70990000000006,-6.041100000000057,11.437500000000071,-36.850600000003396,36.10629999999986,-0.7443000000043867,28
6,-5.425799999999953,-37.828900000002875,36.59419999999977,-5.110299999999967,8.438100000000105,-43.25470000000257,39.92199999999991,-3.3326999999999316,28
7,-2.861199999999826,-32.177900000001785,28.785999999999945,-4.4582000000000335,9.048100000000062,-35.03910000000201,33.375899999999746,-1.6631999999990512,28
8,-6.3510999999999385,-14.041600000000528,16.583899999999744,-4.1417000000001,10.879199999999884,-20.392700000000673,23.321399999999755,2.9287000000026637,28
9,-7.123700000000085,-29.347699999999634,31.458600000000274,-6.315100000000172,12.316199999999895,-36.47139999999882,37.4597,0.9883000000015727,28
10,-5.996899999999904,-24.055900000000634,26.70859999999999,-4.075500000000034,10.53499999999994,-30.052800000000047,33.16809999999964,3.1152999999997064,28
11,-4.47389999999983,-25.07909999999822,28.0600000000004,-3.333599999999933,7.231700000000004,-29.553000000000566,31.958100000000684,2.4051000000006297,28
12,-6.009499999999889,-23.45709999999775,26.13390000000021,-4.836199999999934,9.82409999999993,-29.46659999999605,31.121800000000235,1.6552000000068574,28
13,-3.579799999999892,-22.557599999997535,24.891599999999755,-1.7884999999998854,8.404499999999956,-26.137399999997456,31.50759999999957,5.370200000005866,28
14,-5.089699999999894,-24.339599999998427,27.37050000000002,-4.850400000000064,12.026699999999934,-29.42929999999808,34.54679999999968,5.117499999999723,28
15,-7.667200000000001,-17.26180000000255,20.687899999999843,-4.968500000000148,11.294699999999864,-24.929000000001167,27.01409999999956,2.08509999999751,28
16,-9.56780000000002,-16.522499999996796,22.540900000000107,-7.132599999999826,15.090000000000032,-26.090299999997455,30.498300000000313,4.408000000003312,28
17,-5.388100000000023,-19.39710000000065,21.742799999999875,-3.4801999999999964,11.458699999999936,-24.785199999999577,29.721299999999815,4.936099999992962,28
18,-5.228099999999898,-20.344099999999287,22.534599999999585,-4.245499999999936,9.884799999999899,-25.572199999999384,28.17389999999955,2.6016999999998234,28
19,-3.4553999999999547,-21.88779999999906,23.81540000000018,-2.525800000000004,6.439599999999928,-25.343200000000365,27.729199999999878,2.3860000000031505,28
