GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1764.2564,-17648.0284,-3462.9897,92.36457288,-19412.284799999998,-3370.62512712,-22782.90992712
1,-1751.4495,-17725.0622,-3416.5904,93.16136519999999,-19476.5117,-3323.4290348,-22799.9407348
2,-1748.1704,-17634.8128,-3439.1422,91.89358415999999,-19382.9832,-3347.2486158399997,-22730.231815839998
3,-1708.3543,-17778.894,-3369.902,91.43316936,-19487.2483,-3278.46883064,-22765.71713064
4,-1720.6901,-17620.428,-3488.1072,95.03164728,-19341.1181,-3393.07555272,-22734.193652719998
5,-1760.8143,-17608.4049,-3526.6566,93.05740944,-19369.2192,-3433.59919056,-22802.818390559998
6,-1701.1349,-17798.1676,-3361.7093,95.16217968,-19499.3025,-3266.54712032,-22765.84962032
7,-1723.6003,-17704.0573,-3411.6362,93.94818624,-19427.6576,-3317.68801376,-22745.34561376
8,-1714.4041,-17642.896,-3511.7781,92.6158464,-19357.3001,-3419.1622536,-22776.4623536
9,-1705.9384,-17670.4251,-3508.0105,93.41775,-19376.3635,-3414.59275,-22790.95625
10,-1709.986,-17697.6234,-3485.6981,94.6036728,-19407.6094,-3391.0944272,-22798.703827200003
11,-1729.0418,-17793.8998,-3427.6431,93.10764744000001,-19522.9416,-3334.5354525599996,-22857.47705256
12,-1716.8769,-17761.4367,-3420.7564,92.13367248,-19478.313599999998,-3328.6227275200004,-22806.93632752
13,-1742.4617,-17832.9503,-3366.4389,92.18929032,-19575.412,-3274.24960968,-22849.661609680003
14,-1712.6788,-17916.4886,-3289.1654,89.9763912,-19629.167400000002,-3199.1890088,-22828.356408800002
15,-1746.574,-17849.0309,-3348.6288,92.00933712,-19595.604900000002,-3256.61946288,-22852.224362880002
16,-1761.3004,-17785.1676,-3391.7759,90.53796816,-19546.468,-3301.23793184,-22847.705931840002
17,-1750.2355,-17630.8617,-3486.6502,90.48030552,-19381.0972,-3396.16989448,-22777.26709448
18,-1766.3304,-17628.2885,-3497.4101,89.78220216,-19394.618899999998,-3407.62789784,-22802.246797839998
19,-1742.505,-17753.7414,-3431.0189,90.80767295999999,-19496.2464,-3340.2112270400003,-22836.45762704

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1722.7582,-17171.735,-3201.3837,82.09449000000001,-18894.4932,-3119.28921,-22013.78241
1,-1716.1885,-17227.5603,-3176.9598,82.93052304,-18943.7488,-3094.02927696,-22037.778076960003
2,-1705.8811,-17127.9286,-3209.522,82.35507815999999,-18833.809699999998,-3127.1669218399998,-21960.97662184
3,-1668.3183,-17301.1689,-3116.4492,81.81566351999999,-18969.4872,-3034.63353648,-22004.12073648
4,-1680.7731,-17140.6764,-3236.4887,84.78913104,-18821.4495,-3151.69956896,-21973.149068959996
5,-1716.9646,-17131.7631,-3265.6195,82.5243444,-18848.7277,-3183.0951556,-22031.8228556
6,-1659.4202,-17315.6737,-3110.2408,84.5748216,-18975.0939,-3025.6659784,-22000.7598784
7,-1686.274,-17223.3401,-3155.4954,83.577492,-18909.614100000003,-3071.917908,-21981.532008000002
8,-1677.3809,-17161.3847,-3252.0373,82.03774895999999,-18838.7656,-3169.99955104,-22008.76515104
9,-1673.6243,-17189.4674,-3250.7834,82.62835344,-18863.0917,-3168.15504656,-22031.246746560002
10,-1674.2017,-17205.6357,-3236.2647,83.87104608,-18879.8374,-3152.3936539200004,-22032.23105392
11,-1692.1535,-17308.142,-3182.9369,82.68284664,-19000.2955,-3100.25405336,-22100.54955336
12,-1681.2113,-17271.3558,-3175.8332,81.61314336,-18952.5671,-3094.22005664,-22046.787156640003
13,-1702.5365,-17348.6466,-3115.3754,81.800028,-19051.1831,-3033.575372,-22084.758471999998
14,-1677.3578,-17422.8588,-3046.3178,79.68910607999999,-19100.216600000003,-2966.62869392,-22066.845293920003
15,-1704.6809,-17340.731,-3135.6333,81.53690184,-19045.4119,-3054.09639816,-22099.50829816
