Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1906.3156,-17938.0165,-3058.8937,1879.3287,-1114.2585,-19844.3321,-2293.8235,-22138.155600000002,1
1,-1914.9509,-17843.6367,-3119.4079,1886.0146,-1127.2928,-19758.5876,-2360.6861,-22119.273699999998,1
2,-1899.0412,-17956.1612,-2988.7245,1874.6085,-1117.1645,-19855.2024,-2231.2805,-22086.4829,1
3,-1910.8419,-17986.7921,-2988.5316,1884.2522,-1126.5379,-19897.634,-2230.8172999999997,-22128.451299999997,1
4,-1888.0642,-17869.654,-3071.9324,1883.3497,-1126.2953,-19757.7182,-2314.878,-22072.596200000004,1
5,-1876.7635,-17970.962,-3048.2111,1884.9609,-1129.7811,-19847.7255,-2293.0312999999996,-22140.756800000003,1
6,-1892.622,-17940.2686,-3018.2965,1885.4996,-1131.5484,-19832.8906,-2264.3453,-22097.2359,1
7,-1866.3439,-17998.3527,-3006.0903,1881.2849,-1125.1038,-19864.6966,-2249.9092,-22114.6058,1
8,-1902.271,-17913.0881,-3045.9107,1882.0929,-1123.1927,-19815.3591,-2287.0105,-22102.3696,1
9,-1882.8578,-18054.414,-2978.8503,1879.4847,-1124.3504,-19937.271800000002,-2223.7160000000003,-22160.9878,1
10,-1871.1664,-17889.5749,-3072.7397,1873.9234,-1116.7114,-19760.7413,-2315.5277,-22076.269,1
11,-1885.0575,-17895.0492,-3035.1906,1876.5883,-1110.1165,-19780.1067,-2268.7188,-22048.8255,1
12,-1879.7392,-17891.6655,-3073.3563,1878.5113,-1122.1121,-19771.4047,-2316.9571,-22088.3618,1
13,-1898.1011,-18004.109,-2949.4089,1883.4206,-1125.1153,-19902.2101,-2191.1036,-22093.3137,1
14,-1857.2387,-18012.0302,-3002.9223,1877.3301,-1120.1613,-19869.268900000003,-2245.7535000000003,-22115.0224,1
15,-1879.9047,-18123.7324,-2883.8369,1866.6185,-1101.4415,-20003.6371,-2118.6598999999997,-22122.297,1
16,-1898.814,-18031.1854,-2935.8115,1862.7015,-1099.6685,-19929.999399999997,-2172.7785,-22102.777899999997,1
17,-1912.0888,-18027.5153,-2941.3582,1872.0522,-1099.7492,-19939.6041,-2169.0552,-22108.6593,1
18,-1871.121,-18168.4751,-2865.7083,1868.329,-1104.7985,-20039.5961,-2102.1778,-22141.773899999997,1
19,-1851.1541,-18130.9191,-2852.612,1867.4123,-1112.5367,-19982.0732,-2097.7364000000002,-22079.8096,1
