Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
14,-43.2479,-474.7718,-244.8675,9.94433256,-518.0197,-234.92316744000001,-752.9428674399999,3
15,-36.3492,-477.2934,-245.4788,10.07772912,-513.6426,-235.40107088000002,-749.04367088,3
16,-38.5256,-473.0484,-259.8226,10.2421548,-511.574,-249.5804452,-761.1544452,3
17,-41.8781,-476.4241,-248.4956,10.0707696,-518.3022,-238.4248304,-756.7270304,3
18,-36.8867,-482.4706,-242.1558,10.12630968,-519.3573,-232.02949032,-751.38679032,3
19,-40.1037,-478.9866,-241.7288,10.153914480000001,-519.0903000000001,-231.57488552,-750.66518552,3
0,-39.1418,-456.8444,-260.2279,10.618657919999999,-495.9862,-249.60924207999997,-745.5954420799999,4
1,-35.9421,-478.0427,-242.7977,10.326525120000001,-513.9848000000001,-232.47117487999998,-746.45597488,4
2,-38.8919,-478.8114,-243.8572,10.34878968,-517.7033,-233.50841032,-751.2117103200001,4
3,-35.8427,-464.9477,-252.781,10.40591736,-500.7904,-242.37508264000002,-743.16548264,4
4,-36.3676,-435.8392,-281.3405,10.733787359999999,-472.2068,-270.60671264,-742.81351264,4
5,-34.7444,-428.2994,-290.3764,10.670448239999999,-463.0438,-279.70595176,-742.74975176,4
6,-41.9131,-434.331,-281.968,10.4972868,-476.2441,-271.47071320000003,-747.7148132,4
7,-29.4128,-435.0499,-282.0842,10.896426,-464.4627,-271.187774,-735.650474,4
8,-33.7953,-423.673,-295.4067,10.86341544,-457.4683,-284.54328456,-742.01158456,4
9,-35.5896,-411.1523,-302.9786,10.99385424,-446.74190000000004,-291.98474575999995,-738.72664576,4
10,-34.5697,-417.8503,-287.6699,11.0646396,-452.42,-276.60526039999996,-729.0252604,4
11,-39.2055,-401.3042,-305.0961,10.69179984,-440.50969999999995,-294.40430016,-734.9140001599999,4
12,-36.3002,-406.0341,-300.8469,10.59841224,-442.33430000000004,-290.24848776,-732.58278776,4
13,-37.4237,-423.2183,-296.7357,10.59895152,-460.642,-286.13674848,-746.77874848,4
14,-39.4126,-432.7882,-282.1701,10.88257248,-472.2008,-271.28752751999997,-743.48832752,4
15,-34.0626,-414.6416,-296.8916,10.58301576,-448.7042,-286.30858423999996,-735.0127842400001,4
16,-34.4575,-417.4051,-297.6083,10.73605248,-451.8626,-286.87224752,-738.73484752,4
17,-37.5167,-417.277,-290.8212,10.779604560000001,-454.7937,-280.04159544,-734.83529544,4
18,-38.928,-417.6219,-297.5664,10.779667199999999,-456.5499,-286.7867328,-743.3366328,4
19,-29.5328,-406.9695,-298.1073,10.74356208,-436.5023,-287.36373792,-723.86603792,4
0,-31.5671,-428.0528,-292.3786,10.80193248,-459.6199,-281.57666752,-741.1965675199999,5
1,-31.9079,-421.3403,-293.5074,10.76289336,-453.2482,-282.74450664,-735.9927066399999,5
2,-31.63,-441.1636,-280.3381,10.622862,-472.79359999999997,-269.715238,-742.5088379999999,5
3,-40.6178,-422.2053,-288.7811,10.56102552,-462.8231,-278.22007448,-741.04317448,5
4,-34.8303,-430.3695,-285.2355,10.65143232,-465.19980000000004,-274.58406768,-739.7838676800001,5
5,-37.3722,-436.2212,-285.8913,10.57092912,-473.59340000000003,-275.32037088,-748.91377088,5
6,-34.2509,-432.1943,-273.2299,10.559420639999999,-466.4452,-262.67047936,-729.11567936,5
7,-38.2363,-458.8071,-261.5008,10.46025648,-497.0434,-251.04054352000003,-748.08394352,5
