GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1812.9449,-17963.2879,-3103.0472,80.00845128,-19776.232799999998,-3023.03874872,-22799.27154872
1,-1805.2533,-18041.5783,-3132.7147,79.29306504,-19846.8316,-3053.42163496,-22900.25323496
2,-1855.8427,-18127.366,-3058.0463,76.69057896,-19983.208700000003,-2981.35572104,-22964.564421040006
3,-1853.6226,-18044.9637,-3061.8102,76.19580216,-19898.5863,-2985.61439784,-22884.20069784
4,-1837.9031,-17935.7113,-3199.511,79.20238824,-19773.6144,-3120.30861176,-22893.92301176
5,-1834.9198,-18079.7387,-3087.9405,77.24546855999999,-19914.6585,-3010.69503144,-22925.353531440003
6,-1834.748,-18152.2786,-3033.7823,75.49641143999999,-19987.0266,-2958.28588856,-22945.31248856
7,-1856.1619,-18033.0363,-3098.2237,78.73893648,-19889.1982,-3019.48476352,-22908.682963519997
8,-1813.1842,-17959.0123,-3209.8661,79.785,-19772.1965,-3130.0811000000003,-22902.277599999998
9,-1857.6011,-18020.1473,-3164.6893,79.04889576000001,-19877.7484,-3085.64040424,-22963.388804240003
10,-1857.5983,-17989.4404,-3216.0858,79.08446015999999,-19847.0387,-3137.0013398399997,-22984.04003984
11,-1791.6035,-18079.7386,-3136.3193,77.71718808,-19871.3421,-3058.60211192,-22929.94421192
12,-1858.373,-17900.4027,-3245.2054,77.5237572,-19758.7757,-3167.6816427999997,-22926.457342799997
13,-1855.6924,-17909.8642,-3252.1191,79.45197119999999,-19765.5566,-3172.6671288,-22938.2237288
14,-1839.7757,-18001.6612,-3177.7796,77.62967136,-19841.436899999997,-3100.14992864,-22941.586828639996
15,-1822.9218,-18045.106,-3181.8543,77.26824072,-19868.0278,-3104.58605928,-22972.613859279998
16,-1855.7227,-17946.4558,-3181.863,77.75253504,-19802.178499999998,-3104.1104649599997,-22906.28896496
17,-1859.6008,-18000.0366,-3133.1733,76.94347463999999,-19859.6374,-3056.2298253599997,-22915.867225359998
18,-1817.5112,-17970.0266,-3205.1537,79.88654159999999,-19787.537800000002,-3125.2671584,-22912.8049584
19,-1839.1085,-17965.9795,-3174.4106,78.64589376,-19805.088,-3095.76470624,-22900.85270624

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1671.747,-17256.3577,-3135.8389,84.37053599999999,-18928.1047,-3051.4683640000003,-21979.573064
1,-1664.9892,-17290.1666,-3194.8934,83.53589903999999,-18955.1558,-3111.35750096,-22066.513300960003
2,-1712.2904,-17370.1053,-3121.5916,81.06665976,-19082.3957,-3040.5249402400004,-22122.92064024
3,-1717.3243,-17293.2221,-3129.7318,80.91900792,-19010.5464,-3048.8127920800002,-22059.35919208
4,-1682.8227,-17205.1633,-3253.6122,83.68481448,-18887.986,-3169.92738552,-22057.91338552
5,-1694.3807,-17352.4168,-3135.5184,81.40940136,-19046.7975,-3054.1089986399998,-22100.90649864
6,-1693.9404,-17421.9333,-3065.4295,78.8933808,-19115.8737,-2986.5361192,-22102.409819200002
7,-1702.7504,-17314.2519,-3141.4917,82.70610047999999,-19017.0023,-3058.7855995200002,-22075.787899519997
8,-1671.9315,-17270.7885,-3233.849,83.17638504,-18942.719999999998,-3150.6726149600004,-22093.392614959997
9,-1717.4838,-17312.8264,-3191.8702,82.4968944,-19030.3102,-3109.3733055999996,-22139.6835056
10,-1715.6417,-17262.4795,-3251.0317,82.32948288,-18978.1212,-3168.70221712,-22146.823417120002
11,-1662.033,-17360.4744,-3150.1789,80.88851592,-19022.5074,-3069.29038408,-22091.797784079998
12,-1718.8367,-17195.8931,-3257.7851,80.91279072,-18914.7298,-3176.87230928,-22091.60210928
13,-1722.9754,-17221.2781,-3233.7365,83.05324272,-18944.2535,-3150.68325728,-22094.936757279997
14,-1703.5989,-17336.2628,-3148.9391,80.74043927999999,-19039.8617,-3068.19866072,-22108.06036072
15,-1683.3595,-17366.8789,-3161.5604,80.36102303999999,-19050.2384,-3081.19937696,-22131.437776959996
16,-1714.0568,-17253.7676,-3184.8628,80.59158072000001,-18967.824399999998,-3104.27121928,-22072.095619279997
17,-1719.1382,-17333.6451,-3111.8033,79.60048416,-19052.783300000003,-3032.20281584,-22084.98611584
18,-1681.1659,-17333.3723,-3160.4233,82.16362079999999,-19014.5382,-3078.2596792,-22092.7978792
19,-1704.3829,-17309.9516,-3152.2525,81.28646352,-19014.3345,-3070.96603648,-22085.30053648

Ligand Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-30.9408,-432.2937,-290.0307,10.82911176,-463.2345,-279.20158824000004,-742.43608824
1,-34.0319,-445.717,-281.5714,10.62044856,-479.7489,-270.95095144,-750.69985144
2,-39.0771,-451.002,-278.7271,10.64198304,-490.07910000000004,-268.08511696,-758.16421696
3,-32.4125,-437.7207,-285.4166,10.855605599999999,-470.13320000000004,-274.5609944,-744.6941944
4,-36.3911,-447.1387,-279.9101,10.80419472,-483.52979999999997,-269.10590528,-752.6357052799999
5,-34.9313,-443.1332,-279.8603,10.66218336,-478.0645,-269.19811663999997,-747.26261664
6,-34.3944,-454.0788,-280.8964,11.0784888,-488.4732,-269.8179112,-758.2911112
7,-36.9227,-458.6473,-274.2093,10.58588424,-495.57,-263.62341576,-759.1934157599999
8,-31.9388,-435.988,-285.6273,10.80911664,-467.9268,-274.81818336,-742.7449833600001
9,-32.8417,-449.0525,-282.2719,10.64022192,-481.8942,-271.63167808000003,-753.52587808
10,-36.3634,-456.1241,-279.8608,10.57071312,-492.4875,-269.29008688,-761.77758688
11,-33.3415,-467.8621,-273.9715,10.33126416,-501.2036,-263.64023584,-764.8438358399999
12,-37.6858,-451.4819,-280.0163,10.49166,-489.16769999999997,-269.52464,-758.69234
13,-28.3256,-467.4791,-279.2476,10.56956688,-495.8047,-268.67803311999995,-764.48273312
14,-30.7811,-465.1858,-272.5587,10.4766048,-495.96689999999995,-262.08209519999997,-758.0489951999999
15,-38.3837,-458.1992,-279.0434,10.454616,-496.5829,-268.58878400000003,-765.171684
16,-36.9809,-468.9839,-267.8265,10.254701520000001,-505.9648,-257.57179848,-763.5365984800001
17,-34.815,-474.9104,-264.9185,10.44815904,-509.7254,-254.47034096,-764.1957409600001
18,-36.8232,-462.6776,-271.7779,10.45099224,-499.50079999999997,-261.32690776,-760.82770776
19,-30.9373,-435.4773,-290.7206,10.64370744,-466.4146,-280.07689256,-746.49149256

DELTA Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-110.2570999999999,-274.6364999999989,322.82240000000024,-15.191196479999984,-384.89359999999806,307.63120352000027,-77.26239648000012
1,-106.23220000000009,-305.6947000000006,343.7500999999999,-14.863282559999988,-411.9269000000009,328.8868174399998,-83.04008255999747
2,-104.47519999999983,-306.25870000000253,342.27240000000023,-15.018063839999996,-410.7339000000019,327.2543361600005,-83.47956384000463
3,-103.88579999999993,-314.0209000000012,353.33820000000014,-15.578811359999998,-417.9066999999997,337.7593886400002,-80.14731135999955
4,-118.68930000000006,-283.4092999999989,334.01130000000006,-15.286620959999995,-402.0985999999978,318.72467903999984,-83.37392095999667
5,-105.60779999999997,-284.18870000000265,327.43819999999977,-14.826116160000012,-389.7965000000008,312.6120838399996,-77.18441616000246
6,-106.4132000000001,-276.26650000000086,312.54360000000037,-14.475458160000015,-382.67970000000093,298.0681418400002,-84.61155815999894
7,-116.48880000000017,-260.1371000000005,317.4773,-14.553048239999983,-376.6258999999988,302.92425176000035,-73.7016482400004
8,-109.3139,-252.23579999999976,309.61019999999996,-14.200501680000002,-361.54970000000066,295.40969832,-66.14000168000007
9,-107.27560000000011,-258.2683999999988,309.45279999999985,-14.088220559999995,-365.5440000000005,295.3645794399997,-70.17942056000129
10,-105.59320000000021,-270.8367999999982,314.80670000000015,-13.81573584000001,-376.42999999999955,300.99096416000043,-75.43903583999963
11,-96.22900000000004,-251.40210000000144,287.83109999999976,-13.502592000000003,-347.6311000000031,274.328508,-73.30259200000182
12,-101.85049999999998,-253.0276999999976,292.59600000000023,-13.880693519999998,-354.8781999999974,278.7153064800003,-76.1628935199966
13,-104.39139999999986,-221.10700000000043,260.86500000000007,-14.170838400000012,-325.49840000000097,246.6941616000001,-78.8042384000031
14,-105.39569999999996,-200.21259999999825,243.7182000000002,-13.587372719999987,-305.6082999999957,230.13082728000023,-75.47747271999731
15,-101.17860000000005,-220.02790000000005,258.7494999999999,-13.547398319999997,-321.2065000000015,245.20210167999994,-76.004398320002
16,-104.68499999999997,-223.7043000000005,270.82630000000006,-13.093747200000013,-328.38930000000045,257.73255280000024,-70.65674720000334
17,-105.64759999999984,-191.48109999999792,243.5485000000001,-13.105168560000003,-297.12869999999685,230.44333144000012,-66.68536855999616
18,-99.52209999999995,-173.97670000000198,227.04750000000007,-12.728071440000003,-273.49880000000286,214.31942855999995,-59.17937144000064
19,-103.78829999999999,-220.55060000000094,268.5624999999999,-13.284277199999991,-324.3388999999989,255.27822280000004,-69.06067719999794


POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-1812.9449,-17963.2879,-2963.6555,1920.9702,-1173.8351,-19776.232799999998,-2216.5204,-21992.7532
1,-1805.2533,-18041.5783,-2979.3313,1919.6755,-1167.2894,-19846.8316,-2226.9451999999997,-22073.776800000003
2,-1855.8427,-18127.366,-2934.051,1905.4013,-1154.9203,-19983.208700000003,-2183.5699999999997,-22166.778700000003
3,-1853.6226,-18044.9637,-2930.3653,1903.5113,-1154.8159,-19898.5863,-2181.6699,-22080.256200000003
4,-1837.9031,-17935.7113,-3082.0258,1916.1223,-1169.1477,-19773.6144,-2335.0512,-22108.6656
5,-1834.9198,-18079.7387,-2943.3434,1913.5566,-1160.2062,-19914.6585,-2189.9930000000004,-22104.651500000004
6,-1834.748,-18152.2786,-2886.9168,1900.87,-1149.5734,-19987.0266,-2135.6202000000003,-22122.646800000002
7,-1856.1619,-18033.0363,-2985.486,1913.0936,-1165.0795,-19889.1982,-2237.4719,-22126.6701
8,-1813.1842,-17959.0123,-3084.0972,1916.3491,-1169.3414,-19772.1965,-2337.0895,-22109.286
9,-1857.6011,-18020.1473,-3044.5149,1908.997,-1170.9562,-19877.7484,-2306.4741000000004,-22184.2225
10,-1857.5983,-17989.4404,-3099.2443,1907.7402,-1173.5258,-19847.0387,-2365.0298999999995,-22212.0686
11,-1791.6035,-18079.7386,-3017.7531,1905.7698,-1172.4046,-19871.3421,-2284.3878999999997,-22155.730000000003
12,-1858.373,-17900.4027,-3117.9928,1903.0388,-1153.3687,-19758.7757,-2368.3226999999997,-22127.0984
13,-1855.6924,-17909.8642,-3111.9561,1912.3848,-1158.6285,-19765.5566,-2358.1998,-22123.7564
14,-1839.7757,-18001.6612,-3044.8331,1908.8789,-1159.409,-19841.436899999997,-2295.3632,-22136.800099999997
15,-1822.9218,-18045.106,-3049.2149,1908.8317,-1163.6723,-19868.0278,-2304.0555,-22172.0833
16,-1855.7227,-17946.4558,-3062.1374,1902.5663,-1164.9916,-19802.178499999998,-2324.5627000000004,-22126.7412
17,-1859.6008,-18000.0366,-3034.2654,1908.3639,-1172.4194,-19859.6374,-2298.3209,-22157.9583
18,-1817.5112,-17970.0266,-3091.6308,1913.9583,-1181.1935,-19787.537800000002,-2358.866,-22146.403800000004
19,-1839.1085,-17965.9795,-3058.9228,1904.083,-1167.5488,-19805.088,-2322.3885999999998,-22127.4766

Receptor Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-1671.747,-17256.3577,-3002.0859,1865.8058,-1195.2813,-18928.1047,-2331.5614,-21259.6661
1,-1664.9892,-17290.1666,-3055.6381,1864.719,-1188.2713,-18955.1558,-2379.1904000000004,-21334.3462
2,-1712.2904,-17370.1053,-3002.5396,1849.2872,-1176.9573,-19082.3957,-2330.2097000000003,-21412.6054
3,-1717.3243,-17293.2221,-3013.8241,1849.6038,-1178.845,-19010.5464,-2343.0652999999998,-21353.611699999998
4,-1682.8227,-17205.1633,-3146.815,1861.4588,-1194.0716,-18887.986,-2479.4278,-21367.4138
5,-1694.3807,-17352.4168,-2996.6036,1857.0457,-1178.154,-19046.7975,-2317.7119000000002,-21364.5094
6,-1693.9404,-17421.9333,-2927.5112,1840.2577,-1165.3879,-19115.8737,-2252.6413999999995,-21368.515100000004
7,-1702.7504,-17314.2519,-3029.8534,1856.7952,-1189.8255,-19017.0023,-2362.8837,-21379.886
8,-1671.9315,-17270.7885,-3118.0413,1856.3369,-1187.7503,-18942.719999999998,-2449.4547,-21392.1747
9,-1717.4838,-17312.8264,-3078.871,1850.3881,-1188.6906,-19030.3102,-2417.1735,-21447.483699999997
10,-1715.6417,-17262.4795,-3136.5834,1847.0806,-1183.9279,-18978.1212,-2473.4307,-21451.5519
11,-1662.033,-17360.4744,-3034.449,1844.9213,-1184.5637,-19022.5074,-2374.0914000000002,-21396.5988
12,-1718.8367,-17195.8931,-3124.5153,1845.6915,-1168.7006,-18914.7298,-2447.5244000000002,-21362.2542
13,-1722.9754,-17221.2781,-3095.8768,1853.8846,-1173.5146,-18944.2535,-2415.5068,-21359.760299999994
14,-1703.5989,-17336.2628,-3020.0474,1847.2224,-1171.2224,-19039.8617,-2344.0474,-21383.9091
15,-1683.3595,-17366.8789,-3031.7375,1847.6146,-1177.183,-19050.2384,-2361.3059000000003,-21411.544299999998
16,-1714.0568,-17253.7676,-3069.0788,1843.0738,-1175.9723,-18967.824399999998,-2401.9772999999996,-21369.8017
17,-1719.1382,-17333.6451,-3016.2725,1844.6047,-1182.7966,-19052.783300000003,-2354.4644,-21407.247700000004
18,-1681.1659,-17333.3723,-3048.4336,1847.9548,-1186.0607,-19014.5382,-2386.5395,-21401.0777
