Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-38.0525,-438.2343,-292.6865,10.744665119999999,-476.2868,-281.94183488000004,-758.2286348800001,7
1,-37.6856,-441.4164,-288.7547,10.691683920000001,-479.10200000000003,-278.06301608,-757.1650160800001,7
2,-38.5047,-433.2783,-296.9858,10.643005440000001,-471.783,-286.34279455999996,-758.12579456,7
3,-36.4288,-441.9755,-288.3202,10.71204264,-478.40430000000003,-277.60815736,-756.01245736,7
4,-37.0446,-433.0211,-287.6296,10.679572799999999,-470.0657,-276.95002719999997,-747.0157272,7
5,-33.721,-445.7192,-291.5946,10.89848952,-479.4402,-280.69611048,-760.13631048,7
6,-36.0662,-430.3732,-301.9375,11.033075519999999,-466.4394,-290.90442448,-757.34382448,7
7,-32.3725,-455.0869,-283.7022,10.83400344,-487.4594,-272.86819656,-760.3275965600001,7
8,-36.7084,-425.033,-294.7092,10.75733424,-461.7414,-283.95186576000003,-745.69326576,7
9,-39.5294,-429.2033,-289.3805,10.803774240000001,-468.7327,-278.57672576,-747.30942576,7
10,-33.2465,-425.7406,-298.8377,10.955870639999999,-458.98709999999994,-287.88182936,-746.8689293599999,7
11,-29.9837,-435.112,-286.2599,10.691813519999998,-465.0957,-275.56808648000003,-740.6637864800001,7
12,-32.2383,-447.1779,-287.7243,10.93756752,-479.4162,-276.78673248,-756.20293248,7
13,-36.5189,-435.4678,-291.3915,10.783033920000001,-471.98670000000004,-280.60846608,-752.5951660800001,7
14,-35.8716,-430.7487,-296.1531,11.03647824,-466.6203,-285.11662176,-751.7369217600001,7
15,-32.6795,-437.8143,-279.8066,10.78820568,-470.4938,-269.01839432,-739.51219432,7
16,-36.6177,-443.3469,-281.1964,10.63497744,-479.9646,-270.56142256,-750.52602256,7
17,-34.1896,-452.4986,-279.9267,10.6509132,-486.6882,-269.2757868,-755.9639868,7
18,-32.4303,-442.3242,-286.1396,10.847751839999999,-474.7545,-275.29184816,-750.04634816,7
19,-34.4582,-431.9537,-282.771,10.72893672,-466.4119,-272.04206328000004,-738.45396328,7
