Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1789.8894,-17969.4682,-3024.6384,1940.7585,-1217.5691,-19759.3576,-2301.4489999999996,-22060.8066,11
1,-1783.9883,-17930.0392,-3104.7337,1930.5336,-1213.2655,-19714.0275,-2387.4656000000004,-22101.493100000003,11
2,-1806.4681,-18016.5868,-3013.797,1933.3591,-1206.7,-19823.054900000003,-2287.1379,-22110.1928,11
3,-1790.2602,-17831.4064,-3141.9124,1950.2652,-1231.1831,-19621.6666,-2422.8303,-22044.4969,11
4,-1813.2107,-17954.1319,-2999.678,1934.2285,-1213.0203,-19767.3426,-2278.4698,-22045.8124,11
5,-1818.0215,-17984.1366,-3036.734,1935.887,-1219.9407,-19802.1581,-2320.7877,-22122.9458,11
6,-1825.602,-17961.305,-3062.5406,1943.5746,-1224.1997,-19786.907,-2343.1656999999996,-22130.0727,11
7,-1829.3582,-17990.3842,-3110.6421,1944.3211,-1233.4801,-19819.7424,-2399.8011,-22219.5435,11
8,-1779.6296,-18020.3615,-3086.5593,1948.4886,-1239.0687,-19799.9911,-2377.1394,-22177.1305,11
9,-1814.1654,-17946.0626,-3070.0705,1938.1219,-1227.2793,-19760.228000000003,-2359.2279,-22119.455900000004,11
10,-1752.8206,-18032.1824,-3032.0166,1939.7851,-1220.0459,-19785.003,-2312.2774,-22097.2804,11
11,-1809.1486,-17851.9252,-3172.3338,1944.1699,-1218.5157,-19661.073800000002,-2446.6795999999995,-22107.7534,11
12,-1787.8311,-18019.2855,-3014.815,1928.6247,-1203.797,-19807.1166,-2289.9873,-22097.1039,11
13,-1798.7674,-18121.4623,-2952.6696,1932.1495,-1218.1553,-19920.2297,-2238.6754,-22158.9051,11
14,-1790.9038,-18062.9305,-2971.9937,1942.4548,-1224.605,-19853.8343,-2254.1439,-22107.978199999998,11
15,-1803.3789,-18101.4869,-2947.824,1923.9942,-1218.447,-19904.8658,-2242.2767999999996,-22147.1426,11
16,-1790.2188,-18002.7418,-3065.7894,1947.9499,-1226.9282,-19792.9606,-2344.7677000000003,-22137.7283,11
17,-1789.577,-17965.4355,-3109.7917,1943.6644,-1222.4715,-19755.0125,-2388.5988000000007,-22143.6113,11
18,-1772.7859,-17967.3552,-3118.4844,1932.433,-1218.0927,-19740.1411,-2404.1440999999995,-22144.285200000002,11
19,-1829.8427,-17931.362,-3113.361,1940.56,-1217.9828,-19761.204700000002,-2390.7838,-22151.988500000003,11
