Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-35.4387,-469.9194,-278.1171,137.9725,-137.2704,-505.3581,-277.41499999999996,-782.7731,39
1,-32.1145,-487.8764,-270.7176,139.0073,-137.4201,-519.9909,-269.1304,-789.1213,39
2,-31.3553,-471.7059,-274.7254,140.1366,-139.2245,-503.0612,-273.8133,-776.8744999999999,39
3,-35.9665,-465.5488,-282.2027,138.0245,-138.4172,-501.5153,-282.59540000000004,-784.1107000000001,39
4,-34.6156,-490.3966,-260.4216,136.8102,-135.0961,-525.0122,-258.7075,-783.7197,39
5,-36.4479,-469.4911,-269.6837,136.3613,-135.7518,-505.939,-269.0742,-775.0132,39
6,-31.6991,-482.0671,-270.831,139.7633,-138.952,-513.7662,-270.01970000000006,-783.7859000000001,39
7,-33.6037,-467.2392,-266.5699,137.637,-135.6178,-500.8429,-264.5507,-765.3936000000001,39
8,-33.9121,-442.1966,-292.4373,139.9192,-138.1828,-476.1087,-290.7009,-766.8096,39
9,-32.5141,-467.3526,-280.4929,139.9098,-138.7975,-499.8667,-279.3806000000001,-779.2473,39
10,-35.303,-464.2124,-276.5643,139.5271,-139.0543,-499.5154,-276.0915,-775.6069,39
11,-38.4789,-479.9303,-269.9671,137.1409,-134.8371,-518.4091999999999,-267.66330000000005,-786.0724999999999,39
12,-37.6449,-453.8598,-268.5294,137.9772,-137.1474,-491.5047,-267.69960000000003,-759.2043000000001,39
13,-31.5394,-456.6537,-272.7602,138.9695,-136.8312,-488.1931,-270.6219,-758.8149999999999,39
14,-36.7397,-464.4712,-268.9939,138.5254,-137.1949,-501.21090000000004,-267.6634,-768.8743,39
15,-33.2399,-462.258,-276.7232,139.4892,-137.325,-495.49789999999996,-274.55899999999997,-770.0569,39
16,-31.5461,-472.1768,-272.5536,138.2324,-137.0541,-503.72290000000004,-271.37530000000004,-775.0982000000001,39
17,-36.0991,-470.8286,-263.0466,138.2702,-137.7862,-506.9277,-262.56260000000003,-769.4903000000002,39
18,-34.9376,-461.6229,-276.7306,138.1615,-136.4513,-496.56050000000005,-275.0204,-771.5808999999999,39
19,-32.2455,-453.1099,-278.6813,139.2672,-138.3986,-485.3554,-277.8127,-763.1681,39
