Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1826.5304,-17822.0877,-3183.6642,1946.3009,-1249.8836,-19648.6181,-2487.2469,-22135.865,29
1,-1828.0488,-17798.1744,-3225.7436,1952.6938,-1257.4473,-19626.2232,-2530.4970999999996,-22156.7203,29
2,-1830.8867,-17839.733,-3208.1088,1947.0285,-1245.8155,-19670.6197,-2506.8958000000002,-22177.515499999998,29
3,-1806.7453,-17757.2652,-3182.9583,1942.9225,-1242.4564,-19564.0105,-2482.4921999999997,-22046.502699999997,29
4,-1831.1682,-17734.4901,-3242.9262,1944.9685,-1241.7156,-19565.6583,-2539.6733,-22105.331599999998,29
5,-1818.7983,-17735.2497,-3226.5437,1946.764,-1249.824,-19554.048,-2529.6037000000006,-22083.6517,29
6,-1802.3826,-17724.1269,-3245.1181,1946.7592,-1250.0722,-19526.5095,-2548.4311000000002,-22074.940599999998,29
7,-1812.1824,-17766.0285,-3197.015,1943.8911,-1250.4132,-19578.210900000002,-2503.5370999999996,-22081.748,29
8,-1819.8283,-17776.2437,-3119.4995,1951.2527,-1250.6411,-19596.072,-2418.8878999999997,-22014.959899999998,29
9,-1773.7009,-17698.7512,-3274.4913,1956.9416,-1266.2394,-19472.4521,-2583.7891,-22056.241199999997,29
10,-1816.9071,-17720.7498,-3227.7827,1941.3019,-1250.1901,-19537.6569,-2536.6709,-22074.327800000003,29
11,-1760.502,-17797.0206,-3216.5201,1952.5804,-1262.6049,-19557.5226,-2526.5446,-22084.0672,29
12,-1801.828,-17564.7885,-3366.706,1955.9116,-1269.5611,-19366.6165,-2680.3555,-22046.972,29
13,-1801.6171,-17858.8248,-3130.3378,1954.5885,-1254.5704,-19660.441899999998,-2430.3197,-22090.761599999998,29
14,-1773.8379,-17980.9058,-3124.2337,1958.3827,-1269.2272,-19754.7437,-2435.0782,-22189.821900000003,29
15,-1750.2683,-17696.4963,-3281.5931,1965.9994,-1277.2759,-19446.7646,-2592.8696,-22039.6342,29
16,-1773.7563,-17743.7537,-3261.9144,1953.6766,-1266.4293,-19517.510000000002,-2574.6671,-22092.177100000004,29
17,-1792.2275,-17851.3981,-3158.3366,1949.3485,-1259.4257,-19643.6256,-2468.4138000000003,-22112.039399999998,29
18,-1787.3849,-17682.2908,-3347.0772,1974.6887,-1274.3356,-19469.6757,-2646.7241000000004,-22116.3998,29
19,-1778.1801,-17799.3004,-3252.4361,1960.5231,-1275.2007,-19577.4805,-2567.1137,-22144.594200000003,29
