Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1799.7218,-17857.2958,-3217.0422,82.21219992,-19657.0176,-3134.83000008,-22791.84760008,12
1,-1821.3758,-18047.3666,-3061.2928,83.31595992,-19868.742400000003,-2977.9768400800003,-22846.71924008,12
2,-1815.4663,-17951.3956,-3197.4758,83.35868183999999,-19766.8619,-3114.1171181600002,-22880.97901816,12
3,-1806.5918,-17937.8312,-3198.1957,83.58086879999999,-19744.423,-3114.6148312,-22859.0378312,12
4,-1794.6268,-18191.6491,-3074.5782,82.74921119999999,-19986.2759,-2991.8289888,-22978.1048888,12
5,-1778.3027,-18161.1529,-3063.9376,83.13785639999999,-19939.4556,-2980.7997436,-22920.2553436,12
6,-1814.2356,-18149.046,-3004.238,81.04936751999999,-19963.2816,-2923.18863248,-22886.47023248,12
7,-1844.5661,-18067.1649,-3024.276,80.46245880000001,-19911.731,-2943.8135411999997,-22855.544541199997,12
8,-1865.7982,-18019.4043,-3109.8298,82.01965032,-19885.2025,-3027.81014968,-22913.01264968,12
9,-1803.0886,-17960.9142,-3152.8855,82.57807872000001,-19764.0028,-3070.3074212799997,-22834.31022128,12
10,-1834.4745,-17962.9419,-3148.255,84.78017856,-19797.416400000002,-3063.47482144,-22860.891221440004,12
11,-1789.8679,-17970.2489,-3183.6218,82.85404104,-19760.1168,-3100.76775896,-22860.884558960002,12
12,-1819.0482,-18038.1605,-3097.7852,83.50801056,-19857.208700000003,-3014.27718944,-22871.485889440002,12
13,-1819.6043,-18034.675,-3088.7489,83.12424552,-19854.2793,-3005.62465448,-22859.903954479996,12
14,-1843.7647,-18085.5869,-3106.951,82.7640036,-19929.351599999998,-3024.1869964,-22953.538596399998,12
15,-1768.1718,-18011.2941,-3176.9757,85.87297799999999,-19779.4659,-3091.102722,-22870.568622,12
16,-1800.062,-17977.8313,-3158.8498,84.64027103999999,-19777.893300000003,-3074.20952896,-22852.102828960004,12
17,-1796.8729,-17925.3595,-3173.9836,82.45707263999999,-19722.232399999997,-3091.52652736,-22813.758927359995,12
18,-1821.0022,-18031.3666,-3082.4908,83.89665936,-19852.3688,-2998.59414064,-22850.962940639998,12
19,-1820.3914,-17837.8095,-3262.5696,85.31083368,-19658.2009,-3177.2587663199997,-22835.45966632,12
