Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-1690.2389,-17013.4637,-3218.5226,1860.6839,-1212.1193,-18703.7026,-2569.9579999999996,-21273.6606,17
1,-1680.2501,-17090.0862,-3154.7932,1866.5004,-1215.6557,-18770.336300000003,-2503.9485000000004,-21274.2848,17
2,-1717.6983,-17244.7084,-3100.9703,1858.1938,-1193.1597,-18962.4067,-2435.9362,-21398.3429,17
3,-1734.986,-17053.6741,-3212.9747,1855.7746,-1191.5982,-18788.6601,-2548.7983000000004,-21337.4584,17
4,-1690.2287,-17228.9267,-3016.2147,1860.5941,-1197.9756,-18919.1554,-2353.5962,-21272.751600000003,17
5,-1728.9143,-17161.1363,-3048.3201,1861.0666,-1196.2022,-18890.0506,-2383.4556999999995,-21273.5063,17
6,-1707.5498,-17015.2006,-3222.0096,1855.8691,-1197.5565,-18722.7504,-2563.697,-21286.4474,17
7,-1715.6334,-17141.5147,-3133.5787,1859.4838,-1191.0936,-18857.1481,-2465.1885,-21322.336599999995,17
8,-1698.151,-17120.578,-3152.6276,1861.3171,-1199.163,-18818.729000000003,-2490.4735,-21309.202500000003,17
9,-1689.6908,-17261.0699,-2991.6082,1860.9296,-1200.8112,-18950.7607,-2331.4898000000003,-21282.2505,17
10,-1668.2187,-17138.1119,-3127.5555,1872.7515,-1209.1172,-18806.3306,-2463.9211999999998,-21270.251800000002,17
11,-1721.2699,-17116.0079,-3109.4672,1867.6013,-1208.5722,-18837.2778,-2450.4381000000003,-21287.7159,17
12,-1695.0337,-17144.6246,-3151.0834,1864.1615,-1204.2946,-18839.6583,-2491.2165,-21330.8748,17
13,-1715.639,-17064.4206,-3215.5855,1870.6253,-1206.0162,-18780.0596,-2550.9764000000005,-21331.036,17
14,-1702.3064,-17101.1836,-3152.5574,1854.0784,-1197.498,-18803.49,-2495.977,-21299.467000000004,17
15,-1739.3431,-17019.7912,-3174.3287,1863.0322,-1200.709,-18759.134299999998,-2512.0055,-21271.139799999994,17
16,-1720.8576,-17040.1467,-3220.907,1854.6832,-1195.6667,-18761.0043,-2561.8905000000004,-21322.894800000002,17
17,-1677.3713,-17067.4842,-3219.7854,1860.2776,-1206.2522,-18744.855499999998,-2565.76,-21310.615499999996,17
18,-1713.8304,-17138.4498,-3107.0588,1872.9831,-1208.3692,-18852.280199999997,-2442.4449,-21294.725099999996,17
19,-1723.6172,-17216.8369,-3042.1932,1868.9385,-1195.6948,-18940.4541,-2368.9495,-21309.4036,17
