Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-35.4017,-486.5711,-263.5485,11.1370788,-521.9728,-252.41142119999998,-774.3842212,16
1,-34.2513,-490.8877,-260.9407,11.08079064,-525.139,-249.85990936,-774.99890936,16
2,-31.4918,-480.3459,-268.6542,11.68173792,-511.8377,-256.97246208,-768.8101620799999,16
3,-33.1824,-480.6662,-264.763,11.25165456,-513.8486,-253.51134543999999,-767.3599454399999,16
4,-34.3733,-474.8603,-276.3341,11.230892639999999,-509.2336,-265.10320736,-774.3368073600001,16
5,-35.3716,-475.2679,-274.4873,10.9829232,-510.6395,-263.5043768,-774.1438768,16
6,-32.6734,-516.9353,-226.3979,11.283601679999999,-549.6087,-215.11429832,-764.72299832,16
7,-35.9228,-474.4011,-264.4358,11.15675784,-510.3239,-253.27904215999996,-763.60294216,16
8,-32.5466,-459.9044,-281.6676,11.36534688,-492.451,-270.30225312,-762.7532531200001,16
9,-35.8373,-484.0386,-263.4432,11.159218079999999,-519.8759,-252.28398192,-772.15988192,16
10,-27.7931,-496.5799,-257.0244,11.48908536,-524.373,-245.53531464000002,-769.9083146400001,16
11,-35.5965,-493.2665,-260.1338,11.2310604,-528.863,-248.90273960000002,-777.7657396000001,16
12,-27.9306,-478.1658,-265.9757,11.65818096,-506.0964,-254.31751904,-760.4139190400001,16
13,-29.4156,-487.1388,-260.1583,11.692249200000001,-516.5544,-248.4660508,-765.0204508,16
14,-26.194,-451.347,-293.3412,11.74403664,-477.541,-281.59716336,-759.13816336,16
15,-34.2477,-468.4855,-285.3903,11.68669656,-502.7332,-273.70360344000005,-776.4368034400001,16
16,-34.0649,-475.2742,-269.9783,11.48648688,-509.33910000000003,-258.49181312,-767.83091312,16
17,-24.7346,-464.1016,-277.7313,11.52307656,-488.8362,-266.20822344,-755.04442344,16
18,-33.2601,-475.7169,-281.7317,11.26819296,-508.97700000000003,-270.46350703999997,-779.44050704,16
19,-34.9934,-454.1559,-282.7212,11.36421864,-489.1493,-271.35698136,-760.50628136,16
