GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1860.8005,-18187.4644,-2986.0151,75.28295951999999,-20048.264900000002,-2910.73214048,-22958.997040480004
1,-1862.8335,-18260.8554,-2977.9011,74.36290392,-20123.6889,-2903.53819608,-23027.22709608
2,-1861.947,-18106.9834,-3111.2983,73.94079384,-19968.9304,-3037.35750616,-23006.28790616
3,-1840.8309,-18186.6511,-3048.2241,76.06619064,-20027.482,-2972.15790936,-22999.63990936
4,-1837.5943,-18303.8274,-2945.8104,76.28413895999999,-20141.4217,-2869.52626104,-23010.947961039998
5,-1836.2406,-18316.9773,-2952.9944,76.47201216,-20153.2179,-2876.52238784,-23029.74028784
6,-1842.7535,-18307.7113,-2904.3018,75.56780232,-20150.464799999998,-2828.7339976800004,-22979.198797679997
7,-1855.8197,-18179.6649,-3040.307,76.9965012,-20035.4846,-2963.3104988,-22998.7950988
8,-1839.1849,-18214.7611,-2992.9433,78.12585288000001,-20053.946,-2914.81744712,-22968.76344712
9,-1850.5557,-18135.775,-3097.6763,77.72885136000001,-19986.330700000002,-3019.94744864,-23006.27814864
10,-1837.657,-18242.5585,-3021.4404,75.94666128,-20080.2155,-2945.49373872,-23025.70923872
11,-1833.267,-18222.068,-2997.5312,74.16087552,-20055.335,-2923.37032448,-22978.70532448
12,-1826.2246,-18180.3854,-3047.1682,75.62768256,-20006.61,-2971.5405174400003,-22978.15051744
13,-1839.1133,-18111.534,-3026.3043,77.28188688,-19950.6473,-2949.02241312,-22899.66971312
14,-1843.8874,-18101.0801,-3070.7157,78.30535464,-19944.9675,-2992.41034536,-22937.37784536
15,-1832.3646,-18199.4639,-3057.3091,76.6333404,-20031.8285,-2980.6757595999998,-23012.5042596
16,-1833.9952,-18214.8752,-3017.2701,74.87258399999999,-20048.8704,-2942.397516,-22991.267916
17,-1829.0702,-18328.8419,-2953.2501,75.58772904,-20157.9121,-2877.6623709600003,-23035.574470960004
18,-1807.1923,-18235.8927,-3063.633,76.2370236,-20043.085,-2987.3959763999997,-23030.480976400002
19,-1828.0311,-18263.1551,-2963.1343,76.62833712,-20091.1862,-2886.50596288,-22977.69216288

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1714.8007,-17470.2016,-3012.0767,79.75104264,-19185.0023,-2932.32565736,-22117.32795736
1,-1706.0213,-17546.2609,-2998.7327,78.90254784,-19252.2822,-2919.83015216,-22172.112352160002
2,-1708.2209,-17391.375,-3148.3141,78.79334687999999,-19099.5959,-3069.52075312,-22169.11665312
3,-1696.2248,-17490.7993,-3061.9006,79.88089176,-19187.0241,-2982.01970824,-22169.04380824
4,-1681.099,-17593.2644,-2975.0432,80.59963536,-19274.3634,-2894.44356464,-22168.80696464
5,-1678.3245,-17610.6761,-2978.4165,81.27190296,-19289.0006,-2897.14459704,-22186.145197039998
6,-1693.103,-17563.1735,-2963.5204,79.99695071999999,-19256.2765,-2883.52344928,-22139.79994928
7,-1700.44,-17447.7868,-3093.4057,81.5865048,-19148.2268,-3011.8191951999997,-22160.0459952
8,-1683.4131,-17454.6787,-3068.2867,83.01708719999999,-19138.091800000002,-2985.2696128000002,-22123.3614128
