Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-35.4387,-469.9194,-287.3182,11.421471599999999,-505.3581,-275.8967284,-781.2548284,39
1,-32.1145,-487.8764,-279.0117,11.586040559999999,-519.9909,-267.42565944,-787.41655944,39
2,-31.3553,-471.7059,-283.626,11.80150848,-503.0612,-271.82449152,-774.8856915199999,39
3,-35.9665,-465.5488,-288.3742,11.46352608,-501.5153,-276.91067391999997,-778.42597392,39
4,-34.6156,-490.3966,-268.4969,11.15736696,-525.0122,-257.33953304,-782.35173304,39
5,-36.4479,-469.4911,-279.6595,11.09545992,-505.939,-268.56404008,-774.50304008,39
6,-31.6991,-482.0671,-279.4031,11.81360736,-513.7662,-267.58949264,-781.35569264,39
7,-33.6037,-467.2392,-275.0658,11.313075600000001,-500.8429,-263.75272440000003,-764.5956243999999,39
8,-33.9121,-442.1966,-300.8986,11.66534712,-476.1087,-289.23325288,-765.34195288,39
9,-32.5141,-467.3526,-289.2824,11.722412160000001,-499.8667,-277.55998784,-777.42668784,39
10,-35.303,-464.2124,-285.6607,11.60183736,-499.5154,-274.05886264000003,-773.57426264,39
11,-38.4789,-479.9303,-277.7612,11.17403352,-518.4091999999999,-266.58716647999995,-784.99636648,39
12,-37.6449,-453.8598,-276.4121,11.373132239999999,-491.5047,-265.03896776,-756.54366776,39
13,-31.5394,-456.6537,-282.2614,11.547252,-488.1931,-270.71414799999997,-758.9072480000001,39
14,-36.7397,-464.4712,-278.0686,11.50300512,-501.21090000000004,-266.56559488,-767.7764948800001,39
15,-33.2399,-462.258,-285.7921,11.613423599999999,-495.49789999999996,-274.17867640000003,-769.6765763999999,39
16,-31.5461,-472.1768,-281.0125,11.42086464,-503.72290000000004,-269.59163536,-773.31453536,39
17,-36.0991,-470.8286,-270.3579,11.46387816,-506.9277,-258.89402184,-765.8217218399999,39
18,-34.9376,-461.6229,-285.836,11.41432992,-496.56050000000005,-274.42167008,-770.9821700800001,39
19,-32.2455,-453.1099,-287.113,11.676918240000001,-485.3554,-275.43608176,-760.79148176,39
