Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1712.3081,-17322.6206,-3150.0548,81.85004135999999,-19034.928699999997,-3068.20475864,-22103.133458639993,13
1,-1730.2574,-17221.6423,-3175.298,80.99964863999999,-18951.899699999998,-3094.2983513599997,-22046.198051359996,13
2,-1701.3104,-17219.467,-3170.6691,82.99268496,-18920.7774,-3087.67641504,-22008.453815039997,13
3,-1736.1037,-17231.7332,-3161.7242,79.97143319999999,-18967.8369,-3081.7527668000002,-22049.5896668,13
4,-1691.3904,-17320.8552,-3152.8997,82.68794208,-19012.245600000002,-3070.21175792,-22082.457357920004,13
5,-1703.4495,-17216.1207,-3188.547,81.59219639999999,-18919.5702,-3106.9548036,-22026.525003599996,13
6,-1699.5989,-17226.1105,-3205.897,80.41426848,-18925.7094,-3125.48273152,-22051.19213152,13
7,-1720.451,-17350.4759,-3077.3427,79.69613688,-19070.926900000002,-2997.6465631200003,-22068.573463120003,13
8,-1747.7261,-17231.8831,-3219.0592,82.72223712,-18979.6092,-3136.33696288,-22115.946162879998,13
9,-1698.834,-17309.6444,-3191.5645,81.62248248,-19008.4784,-3109.94201752,-22118.42041752,13
10,-1734.045,-17219.4583,-3260.2532,82.80602424,-18953.503299999997,-3177.44717576,-22130.950475759997,13
11,-1736.0563,-17085.6581,-3352.7888,85.01297471999999,-18821.7144,-3267.77582528,-22089.49022528,13
12,-1714.0512,-17099.4701,-3303.6857,83.60741232000001,-18813.5213,-3220.07828768,-22033.59958768,13
13,-1722.1375,-17265.7236,-3150.825,84.12450623999999,-18987.861100000002,-3066.70049376,-22054.56159376,13
14,-1708.4458,-17325.3856,-3189.4599,82.95137568,-19033.831400000003,-3106.5085243199997,-22140.339924320004,13
15,-1703.9019,-17379.1231,-3148.1973,83.83874327999999,-19083.025,-3064.35855672,-22147.38355672,13
16,-1668.0834,-17183.1698,-3293.4308,83.9548152,-18851.2532,-3209.4759848,-22060.729184800002,13
17,-1700.9199,-17325.9569,-3191.9048,83.30844311999999,-19026.876800000002,-3108.59635688,-22135.47315688,13
18,-1705.1232,-17194.2495,-3228.5975,83.87958672,-18899.3727,-3144.7179132799997,-22044.09061328,13
19,-1689.1119,-17184.2196,-3235.0927,83.26412928,-18873.3315,-3151.8285707200002,-22025.16007072,13
