Frame #,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
0,-48.992599999999854,-135.49400000000082,171.76800000000014,-6.9824383199999875,-184.48660000000206,164.7855616799999,-19.7010383200045,17
1,-50.94670000000001,-110.91069999999883,149.78909999999996,-6.906214799999999,-161.85739999999657,142.8828852,-18.974514799996996,17
2,-47.32919999999991,-116.79300000000103,150.68490000000037,-6.348931200000006,-164.12220000000002,144.33596880000053,-19.78623120000259,17
3,-46.588800000000006,-109.35169999999812,139.36559999999986,-6.352803360000003,-155.9404999999956,133.01279664000015,-22.927703359990005,17
4,-49.5163,-102.53029999999887,134.78109999999975,-6.445425600000004,-152.04660000000047,128.33567439999996,-23.710925599996813,17
5,-56.4410000000001,-113.51620000000173,150.39940000000024,-7.007885999999996,-169.95720000000205,143.3915140000002,-26.56568600000321,17
6,-49.60400000000003,-86.96649999999823,116.62610000000029,-6.799517279999984,-136.57049999999828,109.82658272000003,-26.743917279994662,17
7,-49.17530000000016,-101.44950000000205,132.49679999999978,-6.5727021599999915,-150.62480000000176,125.92409783999977,-24.700702160004198,17
8,-48.48119999999995,-101.37009999999754,134.30250000000012,-6.591618,-149.85129999999452,127.71088199999997,-22.140417999993588,17
9,-44.30119999999988,-94.83930000000254,121.50779999999992,-6.37048728000001,-139.14050000000356,115.13731271999978,-24.00318728000377,17
10,-41.95190000000019,-87.71970000000084,113.92190000000005,-5.925348000000005,-129.67160000000035,107.99655200000012,-21.675048000001993,17
11,-47.40149999999993,-84.27289999999903,111.10050000000018,-6.515426159999993,-131.67439999999965,104.58507384000029,-27.08932616000152,17
12,-47.11920000000005,-96.84360000000015,123.08410000000003,-6.645045600000005,-143.96280000000178,116.43905440000015,-27.523745600003053,17
13,-42.35240000000021,-74.86829999999964,108.02970000000005,-5.703983279999999,-117.22069999999985,102.32571671999995,-14.894983279998996,17
14,-43.05930000000014,-69.27040000000073,97.99489999999992,-6.090312240000015,-112.32969999999972,91.9045877599998,-20.42511224000225,17
15,-49.11639999999998,-85.590300000002,115.67589999999984,-6.539679360000006,-134.7067000000045,109.13622063999998,-25.57047936000447,17
16,-44.85680000000005,-105.25020000000035,142.66160000000008,-6.357829680000002,-150.10700000000173,136.30377032000035,-13.803229679999163,17
17,-44.97669999999992,-86.70719999999937,116.74790000000007,-6.359369760000012,-131.68389999999863,110.38853024000014,-21.29536975999713,17
18,-41.63159999999999,-91.03570000000269,113.43059999999969,-6.418518480000003,-132.6673000000029,107.01208151999947,-25.65521848000253,17
19,-48.93330000000012,-88.32510000000059,118.78700000000009,-6.209158320000002,-137.2584000000005,112.57784167999995,-24.680558319996862,17
