Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
0,-110.05680000000005,-241.97930000000042,281.95939999999996,-76.84050000000005,153.06749999999988,-352.03610000000185,358.1863999999998,6.150299999998879,5
1,-117.11469999999986,-253.48429999999922,303.2532000000002,-77.59649999999996,157.38389999999984,-370.59899999999953,383.0406000000001,12.441600000000903,5
2,-114.53359999999986,-249.99110000000098,322.63949999999994,-79.99690000000004,161.2494999999998,-364.52470000000085,403.8920999999999,39.36739999999634,5
3,-108.82959999999997,-238.96930000000037,278.62840000000006,-74.31729999999993,149.35490000000004,-347.79890000000125,353.66600000000017,5.867099999999823,5
4,-116.89430000000004,-252.4073999999983,308.3276999999999,-74.50149999999982,153.54430000000002,-369.3017000000006,387.37050000000033,18.068800000000124,5
5,-120.53140000000013,-245.56549999999805,305.68939999999975,-78.14920000000012,154.82350000000017,-366.09690000000023,382.36369999999954,16.26679999999442,5
6,-115.53549999999996,-297.5251999999982,341.43050000000005,-77.25620000000009,155.30989999999997,-413.06069999999795,419.48419999999993,6.423500000003287,5
7,-114.84579999999995,-287.2677999999981,334.51959999999974,-76.17899999999995,151.3687,-402.1135999999994,409.7093,7.595700000000193,5
8,-117.95829999999998,-294.36829999999935,348.16889999999967,-79.24079999999995,157.30330000000012,-412.326599999998,426.23140000000006,13.904799999998431,5
9,-113.05919999999992,-260.1847000000029,308.0176000000002,-76.35390000000021,154.6098,-373.24390000000443,386.27350000000024,13.02959999999348,5
10,-119.02089999999994,-251.2130999999975,304.0034000000003,-76.93970000000022,154.6427999999999,-370.23399999999833,381.7065,11.472499999999854,5
11,-118.10350000000014,-290.51059999999956,338.7414999999998,-76.76489999999998,152.12430000000006,-408.6140999999999,414.1008999999999,5.486800000001722,5
12,-120.59330000000003,-246.17440000000045,299.71919999999983,-77.71930000000009,155.18710000000004,-366.7677000000016,377.1869999999998,10.41930000000275,5
13,-115.08269999999997,-232.61389999999847,278.7487000000002,-74.56779999999983,150.84589999999997,-347.69659999999885,355.0268000000003,7.330200000001469,5
14,-119.47110000000015,-215.0292000000004,276.1346000000002,-74.91740000000001,153.04180000000008,-334.5003000000017,354.25900000000024,19.758699999999976,5
15,-108.34970000000003,-229.8888999999976,274.0730999999997,-73.6699999999999,146.94970000000004,-338.2385999999965,347.3527999999999,9.11420000000237,5
16,-107.89009999999999,-238.97849999999943,281.81939999999975,-76.81209999999996,153.43219999999997,-346.86860000000104,358.4395,11.57089999999937,5
17,-114.07530000000003,-249.7483999999996,297.0176999999996,-75.41830000000002,150.63460000000012,-363.82370000000327,372.2339999999999,8.41029999999978,5
18,-111.28150000000004,-249.38930000000028,294.0856,-77.83269999999996,151.14789999999994,-360.67079999999874,367.4008,6.730000000001269,5
19,-105.49609999999993,-269.4106000000006,310.5194,-75.73950000000002,146.77579999999998,-374.9067000000014,381.5557,6.648999999996704,5
