Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-36.0152,-461.8851,-264.5737,132.3073,-130.1957,-497.9003,-262.46209999999996,-760.3624,9
1,-29.047,-460.648,-270.1494,131.4851,-129.2067,-489.69500000000005,-267.87100000000004,-757.566,9
2,-35.7181,-473.0589,-260.0895,132.3923,-129.4799,-508.777,-257.1771,-765.9540999999999,9
3,-35.1705,-473.9322,-260.6948,131.3811,-128.2788,-509.1027,-257.5925,-766.6952000000001,9
4,-30.2661,-472.4453,-263.546,132.4774,-130.5575,-502.71139999999997,-261.6261,-764.3375,9
5,-33.8722,-467.1017,-261.7083,131.7403,-127.7562,-500.9739,-257.7242,-758.6981000000001,9
6,-34.4506,-468.8665,-264.0544,134.1311,-130.5977,-503.3171,-260.52099999999996,-763.8380999999999,9
7,-30.4092,-480.3269,-258.6779,133.1294,-128.6716,-510.7361,-254.22010000000003,-764.9562,9
8,-36.3721,-483.2311,-257.6373,132.2836,-127.3762,-519.6032,-252.7299,-772.3331000000001,9
9,-34.5147,-483.1725,-256.4808,131.0882,-128.8167,-517.6872,-254.20929999999998,-771.8964999999998,9
10,-32.1473,-465.5868,-268.104,133.153,-129.4698,-497.7341,-264.4208,-762.1548999999999,9
11,-35.1625,-492.3637,-255.2938,132.3356,-129.1639,-527.5262,-252.12210000000002,-779.6483000000001,9
12,-38.8465,-478.7946,-261.498,132.8931,-129.2999,-517.6411,-257.9048,-775.5459000000001,9
13,-39.0774,-478.5202,-256.1257,132.26,-128.2917,-517.5975999999999,-252.1574,-769.7549999999999,9
14,-35.4245,-475.2157,-260.2261,133.2144,-128.6683,-510.64020000000005,-255.67999999999995,-766.3202000000001,9
15,-38.8647,-473.1133,-262.1019,134.5469,-129.3957,-511.97799999999995,-256.9507,-768.9286999999999,9
16,-40.5306,-468.9888,-256.4779,133.0916,-129.9271,-509.5194,-253.31339999999997,-762.8328,9
17,-38.6628,-460.3539,-273.5038,133.4082,-128.6064,-499.0167,-268.702,-767.7187000000001,9
18,-34.7365,-463.7968,-279.7777,133.446,-128.3988,-498.5333,-274.7305,-773.2638,9
19,-38.8569,-469.5412,-261.2902,130.7575,-128.8001,-508.3981,-259.3328,-767.7309,9
