Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL,Stage
0,-30.9408,-432.2937,-281.8843,134.8824,-132.0088,-463.2345,-279.01070000000004,-742.2452000000001,8
1,-34.0319,-445.717,-276.804,133.016,-132.6066,-479.7489,-276.39459999999997,-756.1434999999999,8
2,-39.0771,-451.002,-270.0918,134.3059,-130.3171,-490.07910000000004,-266.10299999999995,-756.1821,8
3,-32.4125,-437.7207,-279.5527,134.8635,-133.3416,-470.13320000000004,-278.0308,-748.164,8
4,-36.3911,-447.1387,-271.8288,134.1972,-131.7153,-483.52979999999997,-269.3469,-752.8767,8
5,-34.9313,-443.1332,-271.8567,133.7295,-132.2565,-478.0645,-270.3837,-748.4481999999999,8
6,-34.3944,-454.0788,-271.4739,137.4339,-133.4657,-488.4732,-267.50570000000005,-755.9789000000001,8
7,-36.9227,-458.6473,-267.8983,132.9215,-130.0821,-495.57,-265.0589,-760.6288999999999,8
8,-31.9388,-435.988,-278.1772,134.7359,-133.2783,-467.9268,-276.7196,-744.6464000000001,8
9,-32.8417,-449.0525,-276.185,133.6161,-131.9125,-481.8942,-274.4814,-756.3756000000001,8
10,-36.3634,-456.1241,-271.5995,132.9309,-131.5452,-492.4875,-270.2138,-762.7013,8
11,-33.3415,-467.8621,-267.2564,132.0001,-129.3726,-501.2036,-264.6289,-765.8325000000001,8
12,-37.6858,-451.4819,-276.0848,131.9009,-129.7458,-489.16769999999997,-273.92969999999997,-763.0974,8
13,-28.3256,-467.4791,-273.374,132.2458,-130.0954,-495.8047,-271.22360000000003,-767.0283000000001,8
14,-30.7811,-465.1858,-267.3258,131.9623,-129.9577,-495.96689999999995,-265.3212,-761.2881,8
15,-38.3837,-458.1992,-271.2705,131.986,-129.3858,-496.5829,-268.6703,-765.2532,8
16,-36.9809,-468.9839,-263.0255,131.1213,-128.5035,-505.9648,-260.40770000000003,-766.3725000000001,8
17,-34.815,-474.9104,-257.2467,132.6049,-130.0397,-509.7254,-254.6815,-764.4069,8
18,-36.8232,-462.6776,-264.092,132.4537,-129.5787,-499.50079999999997,-261.217,-760.7177999999999,8
19,-30.9373,-435.4773,-283.8412,133.5641,-130.9921,-466.4146,-281.2692,-747.6838,8
