Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1789.9229,-17798.8998,-3350.9388,90.7764408,-19588.8227,-3260.1623592,-22848.9850592,30
1,-1798.5875,-17745.9992,-3421.773,87.7828176,-19544.5867,-3333.9901824000003,-22878.5768824,30
2,-1805.6009,-17908.7155,-3312.3443,88.11303552,-19714.3164,-3224.2312644800004,-22938.54766448,30
3,-1779.8177,-17808.6793,-3390.8356,90.50925024,-19588.497,-3300.32634976,-22888.823349759998,30
4,-1788.1119,-17686.9451,-3472.2035,90.20765304,-19475.057,-3381.99584696,-22857.05284696,30
5,-1787.0119,-17755.0975,-3405.7543,88.50806136,-19542.1094,-3317.2462386400002,-22859.35563864,30
6,-1792.009,-17640.5298,-3519.0711,91.25157744,-19432.538800000002,-3427.81952256,-22860.35832256,30
7,-1798.3724,-17530.4765,-3624.9093,89.62233264,-19328.8489,-3535.28696736,-22864.13586736,30
8,-1743.5198,-17610.0974,-3574.5449,91.25930808,-19353.6172,-3483.2855919199997,-22836.90279192,30
9,-1769.5321,-17638.1301,-3528.6582,91.60080768,-19407.6622,-3437.05739232,-22844.719592319998,30
10,-1777.6093,-17550.0633,-3587.998,90.80279424,-19327.6726,-3497.19520576,-22824.86780576,30
11,-1775.289,-17531.5846,-3601.3824,91.69845407999999,-19306.8736,-3509.68394592,-22816.557545919997,30
12,-1777.1667,-17625.1762,-3534.9534,89.61620112,-19402.342900000003,-3445.33719888,-22847.680098880002,30
13,-1739.5062,-17595.569,-3544.1837,92.62030823999999,-19335.0752,-3451.56339176,-22786.638591760002,30
14,-1808.4018,-17578.794,-3564.2598,89.42373215999999,-19387.1958,-3474.83606784,-22862.03186784,30
15,-1790.4657,-17653.1872,-3482.0647,90.04742928,-19443.6529,-3392.01727072,-22835.67017072,30
16,-1765.9839,-17684.4188,-3530.9017,91.56097728,-19450.4027,-3439.34072272,-22889.743422719996,30
17,-1793.4116,-17519.486,-3621.3176,91.92448008,-19312.8976,-3529.3931199199997,-22842.290719919998,30
18,-1793.2181,-17636.8215,-3514.8383,88.80232752,-19430.039599999996,-3426.03597248,-22856.075572479996,30
19,-1757.9205,-17662.7021,-3516.5152,91.1409588,-19420.6226,-3425.3742411999997,-22845.996841199998,30
