Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1756.4196,-17780.5788,-3437.2957,88.39808783999999,-19536.9984,-3348.8976121600003,-22885.89601216,38
1,-1781.2156,-17524.1298,-3592.5701,90.8973288,-19305.3454,-3501.6727711999997,-22807.018171199998,38
2,-1800.4233,-17671.2712,-3409.597,89.19489096,-19471.694499999998,-3320.40210904,-22792.09660904,38
3,-1792.112,-17785.2058,-3423.4754,88.10088696,-19577.3178,-3335.37451304,-22912.69231304,38
4,-1770.9143,-17733.5457,-3479.7074,90.7576272,-19504.46,-3388.9497727999997,-22893.409772799998,38
5,-1787.0991,-17773.6138,-3429.3307,89.75371032,-19560.7129,-3339.5769896799998,-22900.289889679996,38
6,-1766.7682,-17745.4296,-3424.1792,90.32435783999999,-19512.197799999998,-3333.85484216,-22846.052642159997,38
7,-1783.3318,-17602.4556,-3575.3564,90.19011456,-19385.7874,-3485.16628544,-22870.953685440003,38
8,-1750.888,-17656.3673,-3473.6298,89.11511927999999,-19407.2553,-3384.5146807200003,-22791.76998072,38
9,-1741.0326,-17718.6545,-3497.4302,92.26259568,-19459.6871,-3405.1676043199996,-22864.854704319998,38
10,-1761.6194,-17734.4747,-3466.282,90.30794687999999,-19496.0941,-3375.97405312,-22872.06815312,38
11,-1768.8487,-17705.9329,-3442.9576,89.71497576,-19474.7816,-3353.24262424,-22828.02422424,38
12,-1744.3394,-17749.3237,-3474.6449,89.8742088,-19493.6631,-3384.7706912,-22878.4337912,38
13,-1781.2781,-17684.8816,-3454.7546,90.01050696,-19466.1597,-3364.7440930400003,-22830.90379304,38
14,-1788.4109,-17578.991,-3536.2703,89.93102544,-19367.4019,-3446.33927456,-22813.74117456,38
15,-1780.9029,-17590.9996,-3508.5418,90.15683759999999,-19371.9025,-3418.3849624,-22790.2874624,38
16,-1754.5139,-17579.7845,-3573.6575,90.47819808,-19334.2984,-3483.17930192,-22817.47770192,38
17,-1793.3975,-17631.7741,-3538.5781,90.18986543999999,-19425.171599999998,-3448.38823456,-22873.559834559997,38
18,-1809.5801,-17706.3778,-3539.9023,89.33815656,-19515.957899999998,-3450.5641434400004,-22966.52204344,38
19,-1772.2876,-17661.4454,-3482.5706,90.18093888,-19433.733,-3392.38966112,-22826.12266112,38
