Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-32.9352,-479.4779,-256.1977,10.648296,-512.4131,-245.549404,-757.962504,6
1,-41.5451,-473.7354,-257.4513,10.523759759999999,-515.2805000000001,-246.92754024,-762.2080402400001,6
2,-35.2431,-465.156,-270.2217,10.699632719999999,-500.3991,-259.52206728,-759.92116728,6
3,-35.0988,-446.8337,-272.7379,10.404774,-481.9325,-262.33312600000005,-744.265626,6
4,-35.7126,-467.9574,-266.3066,10.66311432,-503.67,-255.64348568,-759.31348568,6
5,-30.4737,-437.0494,-286.7602,11.0423772,-467.5231,-275.7178228,-743.2409228,6
6,-38.067,-455.9426,-275.44,10.74820968,-494.00960000000003,-264.69179032,-758.7013903200001,6
7,-33.096,-460.035,-271.7989,10.47259008,-493.13100000000003,-261.32630992,-754.4573099200001,6
8,-38.2364,-446.2079,-279.8203,10.6178616,-484.4443,-269.20243839999995,-753.6467384,6
9,-38.0356,-443.338,-286.0107,10.94739624,-481.3736,-275.06330376,-756.43690376,6
10,-39.8549,-436.7812,-282.3062,10.69505784,-476.6361,-271.61114216,-748.2472421599999,6
11,-38.7559,-432.5543,-286.7576,10.71307584,-471.3102,-276.04452416000004,-747.35472416,6
12,-36.6056,-451.814,-283.937,10.747110959999999,-488.4196,-273.18988904,-761.6094890400001,6
13,-35.0352,-439.5699,-286.316,10.469369519999999,-474.6051,-275.84663048,-750.45173048,6
14,-37.9646,-455.3571,-287.1658,11.0037456,-493.3217,-276.1620544,-769.4837544,6
15,-33.3042,-444.4161,-288.7645,10.794654,-477.72029999999995,-277.969846,-755.6901459999999,6
16,-38.0828,-441.1323,-283.9824,10.67049288,-479.2151,-273.31190712,-752.52700712,6
17,-36.1515,-440.6682,-288.2231,10.53960408,-476.8197,-277.68349592,-754.5031959199999,6
18,-37.9949,-434.9157,-293.6328,10.50285888,-472.91060000000004,-283.12994111999996,-756.0405411200001,6
19,-36.5882,-448.4164,-283.7471,10.872275759999999,-485.0046,-272.87482424,-757.87942424,6
