Frame #,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL,Stage
0,-141.52070000000003,-319.9638000000011,356.1924,-18.146929679999996,-461.4845000000008,338.0454703200004,-123.4390296799977,1
1,-154.77489999999995,-330.30250000000177,372.72040000000015,-18.74109744000002,-485.07740000000103,353.9793025600003,-131.0980974400021,1
2,-152.65520000000006,-329.9796999999985,371.2144999999998,-18.382307040000004,-482.6348999999967,352.83219295999965,-129.8027070399961,1
3,-160.50610000000012,-319.02180000000146,367.2366000000003,-18.30154824000001,-479.5278999999988,348.93505176000036,-130.59284823999758,1
4,-143.12929999999997,-340.7348999999997,377.25870000000015,-18.63110664,-483.86419999999964,358.62759335999976,-125.23660663999988,1
5,-151.6431999999999,-309.75149999999803,354.81799999999976,-18.343198079999993,-461.394699999997,336.47480191999983,-124.91989807999721,1
6,-148.29320000000007,-332.03750000000105,381.4729000000001,-18.673035119999994,-480.3307000000025,362.79986487999975,-117.53083512000183,1
7,-156.30000000000007,-281.1463000000001,333.71410000000003,-18.186320880000004,-437.4463000000002,315.52777912,-121.91852087999837,1
8,-143.73229999999995,-277.43690000000174,329.4016999999999,-18.17714736,-421.16920000000255,311.2245526399995,-109.9446473600035,1
9,-164.69070000000016,-295.4909000000027,350.4371000000002,-18.513054719999992,-460.18160000000535,331.9240452800001,-128.25755472000662,1
10,-154.1517000000001,-312.27580000000114,365.2410000000001,-18.839943360000014,-466.4275000000008,346.4010566400001,-120.02644336000208,1
11,-155.6218,-310.545400000002,359.01210000000003,-18.435754080000006,-466.167200000002,340.5763459200002,-125.59085408000226,1
12,-141.4694999999999,-315.68399999999997,359.3507000000004,-18.16814088000001,-457.1534999999992,341.18255912000023,-115.97094087999756,1
13,-152.61889999999997,-305.4351999999997,354.3169,-18.577347839999998,-458.05409999999995,335.73955215999985,-122.31454784000334,1
14,-156.1382,-310.1530999999982,361.8912999999997,-18.415086479999992,-466.29129999999566,343.47621351999965,-122.81508647999567,1
15,-152.21929999999986,-296.5027999999987,346.9143999999999,-18.003153599999997,-448.72209999999575,328.9112463999999,-119.81085359999668,1
16,-146.38199999999992,-284.0329999999991,335.0182999999997,-18.322775999999998,-430.41499999999996,316.6955239999995,-113.7194760000009,1
17,-144.61170000000004,-297.7655999999997,343.54129999999964,-18.192923279999988,-442.37729999999794,325.3483767199996,-117.02892327999689,1
18,-149.77779999999996,-319.7225000000016,368.8508000000003,-18.385563600000005,-469.50030000000265,350.46523640000004,-119.0350636000004,1
19,-142.8081000000001,-266.2018999999989,309.54660000000007,-17.77261968,-409.0099999999992,291.77398031999996,-117.23601967999741,1
0,-153.71089999999998,-262.76080000000036,314.5311999999998,-18.11203128,-416.4716999999987,296.4191687199997,-120.05253127999993,2
1,-148.13219999999995,-294.3051,338.7210000000001,-18.306467280000003,-442.43730000000267,320.41453272000035,-122.0227672800055,2
2,-145.3742000000002,-264.85800000000177,316.4318000000002,-17.864245440000005,-410.23220000000265,298.5675545600002,-111.664645440002,2
3,-148.19980000000015,-273.63199999999813,319.55239999999975,-17.737352640000015,-421.8317999999998,301.8150473599999,-120.01675263999823,2
4,-152.25590000000003,-255.84889999999973,310.3426999999996,-17.764901279999997,-408.1048000000002,292.5777987199996,-115.52700128000333,2
5,-145.4825,-273.9638000000022,334.0675,-16.936232400000005,-419.44630000000495,317.1312676000003,-102.315032400002,2
6,-138.63140000000004,-258.14150000000313,304.6035999999997,-17.568029519999993,-396.7729000000028,287.0355704799996,-109.73732952000557,2
7,-164.74460000000013,-233.07050000000004,291.19009999999986,-17.49131352,-397.815099999999,273.6987864799996,-124.11631352000154,2
8,-156.17889999999994,-294.3845999999996,344.10769999999985,-18.066376079999994,-450.56349999999907,326.04132391999997,-124.52217608000058,2
