Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL,Stage
0,-1771.6113,-17622.3083,-3515.9628,90.59964048,-19393.9196,-3425.36315952,-22819.282759520003,21
1,-1784.6317,-17683.9285,-3395.1217,89.69287896,-19468.5602,-3305.42882104,-22773.98902104,21
2,-1781.112,-17757.7223,-3401.6103,88.05054744,-19538.834300000002,-3313.5597525599997,-22852.39405256,21
3,-1808.4514,-17689.0386,-3429.8703,86.48760672,-19497.489999999998,-3343.3826932800002,-22840.87269328,21
4,-1768.8052,-17580.5821,-3550.2077,89.91985464,-19349.3873,-3460.28784536,-22809.675145359997,21
5,-1754.1459,-17563.2847,-3510.6179,91.67299560000001,-19317.4306,-3418.9449044000003,-22736.3755044,21
6,-1764.4174,-17655.0236,-3476.223,89.38984608,-19419.441,-3386.83315392,-22806.274153919996,21
7,-1776.453,-17648.7911,-3436.2881,90.99342216,-19425.2441,-3345.29467784,-22770.53877784,21
8,-1767.3408,-17509.4679,-3537.1641,90.3879216,-19276.8087,-3446.7761784,-22723.584878400005,21
9,-1804.4584,-17617.0003,-3497.0046,86.55628392,-19421.4587,-3410.44831608,-22831.90701608,21
10,-1774.9954,-17497.3018,-3546.4603,91.01408975999999,-19272.2972,-3455.4462102400003,-22727.74341024,21
11,-1774.785,-17681.0896,-3406.3237,87.44514048,-19455.8746,-3318.8785595199997,-22774.75315952,21
12,-1774.6655,-17722.0663,-3402.9198,89.5949676,-19496.731799999998,-3313.3248324,-22810.0566324,21
13,-1769.7502,-17726.021,-3349.6499,87.90856704,-19495.7712,-3261.74133296,-22757.512532959998,21
14,-1776.8485,-17614.8164,-3490.0448,89.05112783999999,-19391.6649,-3400.99367216,-22792.65857216,21
15,-1788.8551,-17703.3226,-3383.9182,86.73705072,-19492.1777,-3297.18114928,-22789.35884928,21
16,-1796.9275,-17799.4954,-3276.2075,86.46645312,-19596.4229,-3189.74104688,-22786.163946880002,21
17,-1782.3828,-17693.1404,-3359.8315,88.42349808,-19475.5232,-3271.4080019199996,-22746.93120192,21
18,-1765.8509,-17749.6189,-3390.1169,89.0485884,-19515.469800000003,-3301.0683116,-22816.538111600003,21
19,-1776.4066,-17862.6121,-3252.3007,88.01092295999999,-19639.018699999997,-3164.28977704,-22803.30847704,21
